All Floors - All Directions - All PGs
Intensity,Real 1,Real 2,Real 3,Real 4,Real 5,Real 6,Real 7,Real 8,Real 9,Real 10,Real 11,Real 12,Real 13,Real 14,Real 15,Real 16,Real 17,Real 18,Real 19,Real 20,Real 21,Real 22,Real 23,Real 24,Real 25,Real 26,Real 27,Real 28,Real 29,Real 30,Real 31,Real 32,Real 33,Real 34,Real 35,Real 36,Real 37,Real 38,Real 39,Real 40,Real 41,Real 42,Real 43,Real 44,Real 45,Real 46,Real 47,Real 48,Real 49,Real 50
11,5314385.25022587,2261102.92421799,6751685.09930564,1824160.37590125,4370081.04080482,2464555.85617789,3759294.94875541,3373580.77266983,5482918.72845798,1540720.0416841,3881939.93349951,2123653.77613443,1932741.6434776,1740199.2256393,3238290.04379659,2179007.74430152,5666943.31516789,1595766.56162744,3538038.11018369,3180849.12790198,4737461.74554071,4585720.39902552,3652495.2208661,2688464.46589574,4174556.63889037,3073848.45308336,7259524.78934591,1820663.27570576,2286536.78763427,7253250.27012226,1821285.62825122,1062405.33838477,3452917.23900082,1547907.52084156,3914584.4434451,2088705.02030924,1947190.34620586,1601735.01644518,4464467.63622299,2145014.62931447,2519719.60508542,5018939.53343051,3013238.3993385,5105194.03818143,2095762.38534012,2320304.52463242,2278775.69194271,1027045.95972484,1647908.91074715,2924493.59850803
12,7952608.10577573,1536391.66051649,7320849.88427336,8162863.4823077,2340163.9221784,8438523.40976372,1443886.63488764,3126962.89692176,7209658.95197232,8009804.17235768,7564526.36880837,2028108.96003291,4923073.81955167,8403852.68204581,8407853.39919328,4613161.40759106,5219470.48039641,8364772.90479082,7551279.44619758,1363401.84039551,3933533.99893549,1103219.489517,5856501.82338842,6800490.70572816,6565579.78311353,1586613.73507383,6608992.88611926,6643603.23875942,8742108.39662238,4437856.68723831,8251922.88083355,4039014.78369192,6475305.13537493,6009486.30613944,8575224.93608996,1734559.1994398,5400708.59721848,3005076.27478761,7746515.91382793,7666344.89364921,2545437.49654039,2540860.53001134,2112979.12344133,2927171.46769968,3996378.87510278,7426406.55975103,7643141.32817584,5848991.82634178,8138547.84495183,5154251.08992735
13,4492854.27943708,4047569.66556838,8266455.33000437,5038807.31275943,5667713.02419918,7730874.53794364,4654924.94648161,2924774.97322714,2603790.97206045,3631404.97455421,2650139.83825891,1988023.25037056,2401922.8394607,4733478.08397997,2738169.09648665,6665226.52423608,4048619.11670411,2541917.68838525,6294220.61193042,5275961.92504578,6367459.02915547,3222973.28727143,2011420.54738183,1623103.97057093,1560632.95768617,1594795.04368663,1401838.62596226,2481883.42475296,1796841.00743358,5622525.99399382,2568110.00336756,3062266.95641213,5204550.98356018,2692222.64450954,1626016.65535265,1847164.34100987,4995305.143066,3707684.21759432,3692255.92879466,5336572.30790033,1430295.64786575,8152363.06100241,2169997.05462215,2765960.42979658,2875902.8998576,3347875.26449736,3130294.55530443,5720083.41414281,4489180.87148166,3230100.2687143
14,5918813.47964068,2643016.27689552,3312226.00260521,5507890.15590752,6222200.27423207,1033933.54443718,7940605.58136749,3176948.39196818,8005370.94896327,2165427.82210559,1499856.07396733,2600597.69340468,2862394.03354397,7561807.39625857,5429154.68298592,5542653.84632942,3798788.1487549,4801361.52101576,1444019.44710824,7223486.61560571,2058217.10419461,4778341.04976129,3747227.89565255,1023287.30116699,2480066.11409591,7000167.75366149,4769766.26599897,6819958.08187244,3762507.53429266,3059655.67779781,1731708.814614,4947016.9540742,3239690.1519178,4090365.85921658,1805371.88973694,2823973.88464518,2167242.23311297,7122348.47577638,6936573.78606828,1612788.3882413,2174403.67955688,2533161.34969643,2296666.79987085,6723027.80364499,2640117.56840446,2155322.49834797,1212344.64343626,2119827.69713775,2272872.36639034,2094371.00688496
15,3039635.01562727,5071062.48904728,3452344.5139622,4804608.96399331,6096271.80670676,1938211.48178326,3699212.24050205,5409703.0360415,2511569.96570915,5850731.24976767,5361891.84922455,6815703.94590394,4129897.14124838,2451647.70043985,2822745.76485392,5914404.28134176,5284595.554124,2422511.88422201,4791665.50660902,3759742.53072979,3624132.84545105,3721031.5095832,2343902.70916147,1896878.61530946,3189276.64250267,8239741.51286207,1353959.3300879,6560367.91827826,1714172.04470155,3920751.46242984,1956080.10615006,4773279.95043255,3028243.06913615,1811738.09473776,1179148.74449026,1801225.73131578,7623287.27397055,5433579.68805172,4437523.72068347,3302398.7448776,8036744.26305136,3455797.25848658,6247820.64445274,8295336.18232169,6575376.95523957,2065515.19668408,7074903.60570508,7168174.70958196,8126729.84554576,6419476.45727609
16,2021719.4741519,5222410.83973995,3656215.18727585,4160837.95464695,1507724.99163982,3644553.80049898,6977457.114888,8393267.78019272,4534715.65168266,4870907.78840665,7556296.31393772,4129583.76089934,4264917.92136431,2660568.33618106,5394492.22244753,4607150.4166636,6853827.04754331,5753010.27646181,2568404.10867846,6208886.96630168,6050918.63522705,8209484.11435963,4487691.66372724,7850272.75500389,3684068.52630458,5954316.69030708,7974286.99126291,2245250.66883754,6494173.15468794,6714775.0892519,5524074.95022302,5878868.38670665,4430152.92397393,4590705.70634169,3510194.9513921,7322203.80472317,5401452.30555892,5889336.89096755,2235361.72414447,6868040.84032435,3581653.8367928,4614229.09259257,3658386.23824863,3645643.98634384,5564934.2667309,50691000,3284595.88513478,7649508.5281753,2669577.84708968,4225966.83839984
17,2359024.28202743,7396197.91776897,8288562.64175907,7891837.61193608,6491795.84336469,8349888.78977194,8369672.44647043,5889114.60451354,8322682.24926874,8496543.26737828,1977955.97848357,8463104.19938933,7938346.82277756,7580798.59285652,8515726.57904981,3634197.66971524,8168190.43395543,8551688.10554343,4730939.27473262,8041197.20151618,4271984.18438106,8517878.22562621,7392720.13015385,5254181.2270965,6251943.91677053,8186174.58455159,8656635.99742439,6744030.77841086,6954321.85151456,9070122.48831232,9051981.03108075,8233981.61776508,8172039.49880986,6958990.19153797,4852384.01702176,6978173.87912135,8210846.03190718,1072098.43314403,8303650.32664032,7131846.96834889,6291049.53872554,7220784.79199212,7877642.04335378,4911690.60206204,5958540.88268475,8680463.80754673,5931943.72437549,7980621.33796351,2147959.58251552,5432433.46901869
18,4482711.74114464,8297118.75324761,8600404.86029587,8283896.02474647,2783330.1824259,7695668.76806544,3104361.83833458,50691000,7650470.08887945,8598731.26782944,3679561.90941535,8832293.66381629,8742699.38416898,8660279.52179537,6686367.25762539,8342085.29166521,8018567.00759143,4166813.97052328,3840971.68107343,8320934.44274991,3129936.33042098,8443545.34884869,3343995.02969155,2209477.34420362,8337720.48802227,8128192.46240367,7833472.95770392,3102377.61916826,8460344.0981054,8685846.26613077,8689012.57848551,7117357.53364107,3677110.49483607,6790484.29414184,8239833.12447118,8071683.32713913,8747189.83335271,8396506.04795003,6509650.31656827,8675177.06321783,6500836.31861807,4139519.49577452,8347669.82473296,8431286.28967724,8829762.83455734,5752411.63032006,8251071.82917693,7911562.97798571,50691000,7799880.24251799
19,8518656.35694175,7633315.37205974,8472582.98895799,8635919.914643,8758558.14493115,3183614.07405217,8682712.08452031,9028958.41723572,8082489.16637263,8891613.28314421,9261658.26203703,8433284.67289243,8504438.77010242,944455.367759194,8601259.72841071,8897393.55138418,8268454.5100528,50691000,7902944.10533429,50691000,8506342.4917505,4019947.63484422,2272456.41680693,8936764.16841626,1492504.5511319,8483689.84809224,8859036.3683188,8910264.09255407,8941294.69587414,8847097.14768101,8213808.51504649,8587037.49995071,8243449.26052728,9015611.13179482,7737570.21800867,9022857.65778803,8888512.98078047,8886530.8254816,8373201.60512154,6315235.78849432,7873272.23664688,8618179.51420362,8817850.86913324,8947217.46672315,8192585.75834393,4085414.84782561,9287671.97663972,8811060.61748098,8519666.48101456,8805804.96566263
20,8762385.6689779,8494457.28982039,50691000,50691000,8607952.7379516,7583854.34992992,9106657.25552079,50691000,50691000,50691000,9112853.00670649,8756280.38193621,8526870.1246462,8702796.21192674,8422327.31691003,8397576.01454859,8310682.80111315,8470837.01888749,8700397.38797569,7826749.06438079,9227464.2576977,9059640.51289377,8543019.52214655,9528908.63914786,50691000,2970119.51804351,8501183.47509767,9017429.58555312,8401408.5982268,8650107.27200572,9003094.68058469,5668607.08182008,8119471.94957246,9306729.9792081,8205082.65577716,8627438.77335084,3459040.12344752,8203442.43165655,8776514.37304885,9353135.89250024,7873574.13376497,9076817.54512575,6125405.80477129,8878765.31888806,8784106.45832958,9294636.9377411,8160425.16780667,9949709.59797583,8651472.20442589,9078283.27874882
21,8109432.22414733,8888595.19835965,8579866.78810601,9093183.26524361,9069048.80470376,8935719.99310877,9103311.91563472,8995399.48223759,8513583.93274284,9228214.12256314,8654038.6176188,8265001.84955627,8698446.2012592,8968208.93748625,50691000,9316313.69318106,8789593.71072426,8757431.82976935,9471199.51315647,8428677.48136382,9578475.38925211,8880700.757952,8546458.35155636,8960315.21447746,8185498.58402695,6544625.18515511,8338425.38333891,8713693.80197014,9387566.55187728,9756676.47792117,50691000,50691000,8554389.21703779,9073639.92795631,10033041.4606537,8360129.19442103,50691000,7611154.44752574,9019763.60602662,8574337.83628565,9181065.42028266,8604592.91367051,8782174.44597689,7450752.12143646,8934319.11720195,50691000,9193697.4724674,50691000,8753885.5942197,8695244.3401554
22,8978256.42414648,9046899.89726058,9143193.61825945,8710322.79807514,9061155.75503161,8748073.32678332,9386907.62090541,9186253.85199364,8535856.86776922,8822501.16205971,8196940.65361976,9239890.90776729,9071627.2237589,8824946.63814404,9076827.74179759,8964476.9285506,9210872.21032959,6443975.14516461,8754051.10538413,9115437.07166896,8897134.5352914,8870667.33405633,8861814.43692461,50691000,9365929.92311417,7577495.03885928,8597192.63196229,8750029.93578062,8154471.04282257,8150064.59878611,9717562.08123739,8674701.62946085,8700251.70976598,6372642.32986055,8604570.14314223,8472223.99316963,7893556.77804748,8771570.94168821,50691000,8902470.5713497,8837976.49699832,8634000.89335017,7858509.44482553,8278116.34729133,8986080.62008671,8736928.19968926,9122547.45301217,8991851.21402816,9434222.39435928,50691000
23,8689555.75039833,8982171.51200078,9349016.83355515,8835619.09000805,50691000,9630060.91120727,8657401.79909373,8986320.43208125,50691000,10826646.2382574,9405432.51764665,9007125.25924279,50691000,9142887.66163167,9894784.38662853,50691000,10465919.5871548,9571099.13353057,8240119.67186222,50691000,8854592.24221468,8780441.3356601,50691000,8566003.13643107,8674140.44488806,8997192.47773962,50691000,8995176.56362269,50691000,8676562.26314106,9010027.08067952,9063484.38233577,9841720.2775827,50691000,9322374.6568352,9547916.6578786,7263529.84549422,50691000,4639912.29705889,9219151.02701611,50691000,9214472.57704442,50691000,8573102.21568433,8769000.97242565,50691000,9221817.62243906,10523376.3453358,8808843.21621041,50691000
24,9493691.36086554,50691000,9006575.06200052,8814639.99396911,8667693.52652405,9370206.5395564,9830477.84906556,8656395.47210678,50691000,50691000,9425485.95063958,8791749.96456013,8983341.74288013,8011114.65252415,50691000,9314104.11175594,9008312.36800127,50691000,9972811.40925963,9098528.1785083,50691000,50691000,9483229.32589599,9401120.12703238,9028179.59659513,9043749.56171283,50691000,8883187.32313811,50691000,9183393.64238131,9347783.2964981,9265196.03682065,10308256.4630776,9830994.1335991,9268655.08186874,9559330.68139783,8886401.89027259,9575601.4421853,50691000,50691000,8936865.7155059,9902311.18133218,9857800.7268612,8942619.83858293,50691000,9364296.43544396,8151729.36256104,8302464.54307786,8870384.33765418,50691000
