
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2021-09-08


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, 7.5
Magnitude Max:, 7.8
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, 100.0
Rjb Max (km):, 1000.0
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 
Earthquake Name:, chi-chi
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, SRSS
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
34, SRSS, 1399, -, 1.0, -, 40.9, 69.8, 0.1, "Chi-Chi_ Taiwan", 1999, "KAU088", 7.62, Reverse Oblique, 108.91, 110.22, 227.46, 0.0375, 1.0, RSN1399_CHICHI_KAU088-N.AT2, RSN1399_CHICHI_KAU088-W.AT2 , RSN1399_CHICHI_KAU088-V.AT2  
35, SRSS, 1404, -, 1.0, -, 24.0, 32.0, 0.0, "Chi-Chi_ Taiwan", 1999, "PNG", 7.62, Reverse Oblique, 110.3, 110.3, 465.86, 0.3, 1.0, RSN1404_CHICHI_PNG-E.AT2, RSN1404_CHICHI_PNG-N.AT2 , RSN1404_CHICHI_PNG-V.AT2  
36, SRSS, 1410, -, 1.0, -, 13.9, 31.0, 0.6, "Chi-Chi_ Taiwan", 1999, "TAP003", 7.62, Reverse Oblique, 101.27, 102.39, 212.39, 0.05, 1.0, RSN1410_CHICHI_TAP003-N.AT2, RSN1410_CHICHI_TAP003-E.AT2 , RSN1410_CHICHI_TAP003-V.AT2  
37, SRSS, 1411, -, 1.0, -, 13.7, 31.8, 0.4, "Chi-Chi_ Taiwan", 1999, "TAP005", 7.62, Reverse Oblique, 105.44, 106.87, 179.84, 0.05, 1.0, RSN1411_CHICHI_TAP005-N.AT2, RSN1411_CHICHI_TAP005-E.AT2 , RSN1411_CHICHI_TAP005-V.AT2  
38, SRSS, 1412, -, 1.0, -, 13.6, 23.2, 0.3, "Chi-Chi_ Taiwan", 1999, "TAP006", 7.62, Reverse Oblique, 104.16, 105.66, 184.77, 0.025, 1.0, RSN1412_CHICHI_TAP006-N.AT2, RSN1412_CHICHI_TAP006-E.AT2 , RSN1412_CHICHI_TAP006-V.AT2  
39, SRSS, 1413, -, 1.0, -, 13.0, 29.1, 0.3, "Chi-Chi_ Taiwan", 1999, "TAP007", 7.62, Reverse Oblique, 102.16, 103.73, 207.39, 0.0375, 1.0, RSN1413_CHICHI_TAP007-S.AT2, RSN1413_CHICHI_TAP007-W.AT2 , RSN1413_CHICHI_TAP007-V.AT2  
40, SRSS, 1414, -, 1.0, -, 22.6, 47.1, 0.2, "Chi-Chi_ Taiwan", 1999, "TAP008", 7.62, Reverse Oblique, 102.84, 104.52, 194.14, 0.05, 1.0, RSN1414_CHICHI_TAP008-N.AT2, RSN1414_CHICHI_TAP008-E.AT2 , RSN1414_CHICHI_TAP008-V.AT2  
41, SRSS, 1416, -, 1.0, -, 14.5, 29.8, 0.2, "Chi-Chi_ Taiwan", 1999, "TAP012", 7.62, Reverse Oblique, 100.11, 101.76, 207.99, 0.0375, 1.0, RSN1416_CHICHI_TAP012-N.AT2, RSN1416_CHICHI_TAP012-E.AT2 , RSN1416_CHICHI_TAP012-V.AT2  
42, SRSS, 1417, -, 1.0, -, 18.4, 32.4, 0.2, "Chi-Chi_ Taiwan", 1999, "TAP013", 7.62, Reverse Oblique, 100.84, 102.59, 205.11, 0.0375, 1.0, RSN1417_CHICHI_TAP013-N.AT2, RSN1417_CHICHI_TAP013-E.AT2 , RSN1417_CHICHI_TAP013-V.AT2  
43, SRSS, 1418, -, 1.0, -, 16.7, 40.3, 0.3, "Chi-Chi_ Taiwan", 1999, "TAP014", 7.62, Reverse Oblique, 101.63, 103.45, 188.98, 0.05, 1.0, RSN1418_CHICHI_TAP014-N.AT2, RSN1418_CHICHI_TAP014-E.AT2 , RSN1418_CHICHI_TAP014-V.AT2  
44, SRSS, 1429, -, 1.0, -, 16.2, 29.6, 0.2, "Chi-Chi_ Taiwan", 1999, "TAP041", 7.62, Reverse Oblique, 110.28, 110.9, 363.56, 0.025, 1.0, RSN1429_CHICHI_TAP041-E.AT2, RSN1429_CHICHI_TAP041-N.AT2 , RSN1429_CHICHI_TAP041-V.AT2  
45, SRSS, 1430, -, 1.0, -, 16.2, 32.0, 0.2, "Chi-Chi_ Taiwan", 1999, "TAP042", 7.62, Reverse Oblique, 105.49, 106.48, 375.85, 0.025, 1.0, RSN1430_CHICHI_TAP042-E.AT2, RSN1430_CHICHI_TAP042-N.AT2 , RSN1430_CHICHI_TAP042-V.AT2  
46, SRSS, 1432, -, 1.0, -, 18.4, 28.7, 0.1, "Chi-Chi_ Taiwan", 1999, "TAP046", 7.62, Reverse Oblique, 116.64, 118.34, 816.9, 0.025, 1.0, RSN1432_CHICHI_TAP046-E.AT2, RSN1432_CHICHI_TAP046-N.AT2 , RSN1432_CHICHI_TAP046-V.AT2  
47, SRSS, 1434, -, 1.0, -, 16.7, 28.9, 0.3, "Chi-Chi_ Taiwan", 1999, "TAP049", 7.62, Reverse Oblique, 107.28, 108.1, 573.04, 0.0375, 1.0, RSN1434_CHICHI_TAP049-E.AT2, RSN1434_CHICHI_TAP049-N.AT2 , RSN1434_CHICHI_TAP049-V.AT2  
48, SRSS, 1435, -, 1.0, -, 12.1, 26.0, 0.2, "Chi-Chi_ Taiwan", 1999, "TAP051", 7.62, Reverse Oblique, 102.46, 103.46, 403.17, 0.025, 1.0, RSN1435_CHICHI_TAP051-E.AT2, RSN1435_CHICHI_TAP051-N.AT2 , RSN1435_CHICHI_TAP051-V.AT2  
49, SRSS, 1438, -, 1.0, -, 21.0, 32.2, 0.0, "Chi-Chi_ Taiwan", 1999, "TAP059", 7.62, Reverse Oblique, 117.61, 119.3, 456.18, 0.025, 1.0, RSN1438_CHICHI_TAP059-E.AT2, RSN1438_CHICHI_TAP059-N.AT2 , RSN1438_CHICHI_TAP059-V.AT2  
50, SRSS, 1439, -, 1.0, -, 17.6, 23.5, 0.0, "Chi-Chi_ Taiwan", 1999, "TAP060", 7.62, Reverse Oblique, 119.49, 121.15, 631.27, 0.025, 1.0, RSN1439_CHICHI_TAP060-E.AT2, RSN1439_CHICHI_TAP060-N.AT2 , RSN1439_CHICHI_TAP060-V.AT2  
51, SRSS, 1440, -, 1.0, -, 14.1, 23.4, 0.0, "Chi-Chi_ Taiwan", 1999, "TAP065", 7.62, Reverse Oblique, 120.84, 122.48, 1023.45, 0.05, 1.0, RSN1440_CHICHI_TAP065-E.AT2, RSN1440_CHICHI_TAP065-N.AT2 , RSN1440_CHICHI_TAP065-V.AT2  
52, SRSS, 1441, -, 1.0, -, 10.1, 22.1, 0.1, "Chi-Chi_ Taiwan", 1999, "TAP066", 7.62, Reverse Oblique, 114.15, 115.34, 662.78, 0.0375, 1.0, RSN1441_CHICHI_TAP066-E.AT2, RSN1441_CHICHI_TAP066-N.AT2 , RSN1441_CHICHI_TAP066-V.AT2  
53, SRSS, 1443, -, 1.0, -, 15.8, 24.6, 0.0, "Chi-Chi_ Taiwan", 1999, "TAP069", 7.62, Reverse Oblique, 121.94, 123.57, 671.52, 0.0625, 1.0, RSN1443_CHICHI_TAP069-E.AT2, RSN1443_CHICHI_TAP069-N.AT2 , RSN1443_CHICHI_TAP069-V.AT2  
54, SRSS, 1445, -, 1.0, -, 15.8, 24.2, 0.1, "Chi-Chi_ Taiwan", 1999, "TAP075", 7.62, Reverse Oblique, 107.42, 109.27, 856.38, 0.025, 1.0, RSN1445_CHICHI_TAP075-N.AT2, RSN1445_CHICHI_TAP075-W.AT2 , RSN1445_CHICHI_TAP075-V.AT2  
55, SRSS, 1446, -, 1.0, -, 11.5, 19.2, 0.0, "Chi-Chi_ Taiwan", 1999, "TAP077", 7.62, Reverse Oblique, 117.31, 119.0, 1022.77, 0.025, 1.0, RSN1446_CHICHI_TAP077-N.AT2, RSN1446_CHICHI_TAP077-W.AT2 , RSN1446_CHICHI_TAP077-V.AT2  
56, SRSS, 1447, -, 1.0, -, 19.8, 27.8, 0.0, "Chi-Chi_ Taiwan", 1999, "TAP078", 7.62, Reverse Oblique, 118.29, 119.97, 671.52, 0.05, 1.0, RSN1447_CHICHI_TAP078-N.AT2, RSN1447_CHICHI_TAP078-W.AT2 , RSN1447_CHICHI_TAP078-V.AT2  
57, SRSS, 1448, -, 1.0, -, 15.8, 29.5, 0.0, "Chi-Chi_ Taiwan", 1999, "TAP079", 7.62, Reverse Oblique, 117.67, 119.35, 631.27, 0.05, 1.0, RSN1448_CHICHI_TAP079-N.AT2, RSN1448_CHICHI_TAP079-W.AT2 , RSN1448_CHICHI_TAP079-V.AT2  
58, SRSS, 1449, -, 1.0, -, 11.5, 24.9, 0.0, "Chi-Chi_ Taiwan", 1999, "TAP081", 7.62, Reverse Oblique, 122.24, 123.86, 671.52, 0.025, 1.0, RSN1449_CHICHI_TAP081-N.AT2, RSN1449_CHICHI_TAP081-W.AT2 , RSN1449_CHICHI_TAP081-V.AT2  
59, SRSS, 1450, -, 1.0, -, 13.5, 38.5, 0.1, "Chi-Chi_ Taiwan", 1999, "TAP083", 7.62, Reverse Oblique, 120.91, 121.7, 435.22, 0.0375, 1.0, RSN1450_CHICHI_TAP083-N.AT2, RSN1450_CHICHI_TAP083-W.AT2 , RSN1450_CHICHI_TAP083-V.AT2  
60, SRSS, 1451, -, 1.0, -, 25.5, 43.1, 0.1, "Chi-Chi_ Taiwan", 1999, "TAP084", 7.62, Reverse Oblique, 122.13, 123.71, 224.22, 0.025, 1.0, RSN1451_CHICHI_TAP084-N.AT2, RSN1451_CHICHI_TAP084-W.AT2 , RSN1451_CHICHI_TAP084-V.AT2  
