Non-Linear
Intensity #,Name,# Demand Vectors,Modeling Dispersion,SA(T),SA(T1),MAFE
1,Intensity 1,22,0,0.01,0.4,0.0943029
2,Intensity 2,22,0,0.1,0.4,0.00507564
3,Intensity 3,22,0,0.125,0.4,0.00366069
4,Intensity 4,22,0,0.15,0.4,0.00278419
5,Intensity 5,22,0,0.175,0.4,0.00219835
6,Intensity 6,22,0,0.2,0.4,0.00178489
7,Intensity 7,22,0,0.225,0.4,0.00148091
8,Intensity 8,22,0,0.25,0.4,0.00125017
9,Intensity 9,22,0,0.275,0.4,0.00107045
10,Intensity 10,22,0,0.3,0.4,0.0009275
11,Intensity 11,22,0,0.35,0.4,0.000716627
12,Intensity 12,22,0,0.4,0.4,0.00057072
13,Intensity 13,22,0,0.45,0.4,0.000465333
14,Intensity 14,22,0,0.5,0.4,0.000386612
15,Intensity 15,22,0,0.6,0.4,0.0002788
16,Intensity 16,22,0,0.7,0.4,0.000210133
17,Intensity 17,22,0,0.707,0.4,0.000206291
18,Intensity 18,22,0,0.8,0.4,0.000163688
19,Intensity 19,22,0,0.9,0.4,0.000130818
20,Intensity 20,22,0,1,0.4,0.000106715
21,Intensity 21,22,0,1.1,0.4,8.85304e-05
22,Intensity 22,22,0,1.2,0.4,7.44849e-05
23,Intensity 23,22,0,1.3,0.4,6.34208e-05
24,Intensity 24,22,0,1.4,0.4,5.45583e-05
25,Intensity 25,22,0,1.5,0.4,4.7356e-05
26,Intensity 26,22,0,2,0.4,2.58396e-05
27,Intensity 27,22,0,3,0.4,1.05204e-05
28,Intensity 28,22,0,4,0.4,5.37406e-06
29,Intensity 29,22,0,5,0.4,3.12551e-06

Intensity #,Demand Type,Floor,Dir,EQ1,EQ2,EQ3,EQ4,EQ5,EQ6,EQ7,EQ8,EQ9,EQ10,EQ11,EQ12,EQ13,EQ14,EQ15,EQ16,EQ17,EQ18,EQ19,EQ20,EQ21,EQ22
4,Story Drift Ratio,3,2,0.00170141,0.00225762,0.00212731,0.00215305,0.00168914,0.00157894,0.00187942,0.00233008,0.00297334,0.00166858,0.00185567,0.00236943,0.00218028,0.00186944,0.0019051,0.00204243,0.00208396,0.00215826,0.00215922,0.00230527,0.00184569,0.00180142
4,Acceleration,1,1,0.195011,0.221074,0.124307,0.215732,0.167179,0.208657,0.200329,0.29502,0.165707,0.0992,0.0727229,0.148437,0.273081,0.110414,0.286392,0.0973282,0.0942581,0.22274,0.139583,0.212909,0.0934844,0.126363
4,Acceleration,1,2,0.169124,0.194655,0.184433,0.22201,0.121901,0.125717,0.171398,0.194228,0.243576,0.0615657,0.0800296,0.173453,0.262396,0.114509,0.182942,0.113639,0.11043,0.238628,0.152127,0.205587,0.115572,0.179969
4,Acceleration,2,1,0.204534,0.161106,0.162404,0.182516,0.233705,0.149912,0.210941,0.350879,0.140474,0.139742,0.110756,0.165887,0.397048,0.185354,0.234467,0.158777,0.0893307,0.306101,0.105317,0.186028,0.110098,0.193413
4,Acceleration,2,2,0.152653,0.31378,0.203742,0.189828,0.143826,0.138352,0.210434,0.219084,0.390105,0.116087,0.121599,0.28548,0.297845,0.150984,0.152956,0.1446,0.212224,0.316085,0.221621,0.334207,0.1513,0.272086
4,Acceleration,3,1,0.213657,0.196573,0.15676,0.196185,0.269747,0.159199,0.176156,0.24483,0.14428,0.175623,0.142762,0.211688,0.317196,0.180007,0.231927,0.143925,0.125775,0.250714,0.110754,0.182885,0.133148,0.186352
4,Acceleration,3,2,0.126136,0.290662,0.221372,0.227223,0.14269,0.108191,0.214167,0.240661,0.498616,0.121334,0.157768,0.236097,0.270069,0.154846,0.175591,0.176292,0.243716,0.33598,0.253611,0.279742,0.175745,0.19148
4,Acceleration,4,1,0.350008,0.246328,0.26102,0.215968,0.520439,0.244962,0.423345,0.436634,0.282647,0.265562,0.211809,0.32272,0.353922,0.376999,0.355448,0.260463,0.180379,0.245378,0.210746,0.267352,0.208503,0.373649
4,Acceleration,4,2,0.253598,0.399702,0.37395,0.336811,0.1554,0.164867,0.346068,0.4756,0.76443,0.175755,0.207263,0.516611,0.37799,0.312819,0.210742,0.343095,0.371628,0.385422,0.408529,0.502284,0.276828,0.248688
4,Residual Drift,,,5.82529e-06,8.21266e-06,2.44047e-05,1.31634e-05,1.29007e-05,2.8982e-05,1.61573e-05,7.40345e-06,3.30015e-05,2.74295e-05,1.90461e-05,4.05283e-05,1.72853e-05,3.05724e-05,1.09983e-05,2.37742e-05,1.00417e-05,6.53345e-06,8.38121e-06,1.05604e-05,1.32396e-05,1.84487e-06
5,Story Drift Ratio,1,1,0.00221516,0.00195705,0.00181129,0.00211012,0.00264942,0.00172278,0.00234625,0.00199545,0.00191158,0.00217911,0.00188212,0.00219217,0.00238275,0.00230031,0.00199675,0.00173176,0.00166863,0.00194076,0.00176118,0.00200465,0.0017372,0.00229451
5,Story Drift Ratio,1,2,0.00162916,0.00220942,0.00235749,0.00242006,0.00184712,0.00162993,0.00181868,0.00256948,0.0030848,0.00176451,0.00198105,0.00243988,0.00213236,0.00194131,0.00208953,0.00224451,0.0022077,0.0023866,0.00234865,0.00240657,0.00198145,0.00178693
5,Story Drift Ratio,2,1,0.00275123,0.00248715,0.00230507,0.0026693,0.00329525,0.00222281,0.0028945,0.00265814,0.00241192,0.00270446,0.00234215,0.00273047,0.00290343,0.00285398,0.00256319,0.00216302,0.00210347,0.00241817,0.00222668,0.00246373,0.00222014,0.00281476
