Non-Linear
Intensity #,Name,# Demand Vectors,Modeling Dispersion,SA(T),SA(T1),MAFE
2,Acceleration,5,2,0.0325513,0.0325168,0.0325466,0.0324796,0.0324759,0.0325377,0.0325593,0.0325261,0.0325304,0.0324908
2,Acceleration,6,1,0.0362894,0.0362414,0.0361792,0.0362191,0.0362336,0.036226,0.0362605,0.0362642,0.0362385,0.0362259
2,Acceleration,6,2,0.0363526,0.0364404,0.036387,0.0363643,0.0364104,0.0363551,0.0363303,0.0363608,0.0364093,0.036351
2,Acceleration,7,1,0.0393365,0.039324,0.0393455,0.0393043,0.0393179,0.0393194,0.039286,0.0392571,0.0393085,0.0392674
2,Acceleration,7,2,0.0463644,0.0463361,0.0462791,0.0462725,0.0462821,0.0463482,0.046305,0.0463507,0.0462643,0.046278
2,Acceleration,8,1,0.0432704,0.0431981,0.0431854,0.0432597,0.0431526,0.0432329,0.0431364,0.0431601,0.0431554,0.0431315
2,Acceleration,8,2,0.0465257,0.0465516,0.0464998,0.0465536,0.0463886,0.0466216,0.046566,0.046547,0.0465209,0.0465078
2,Acceleration,9,1,0.0476257,0.0476953,0.0477,0.0476083,0.0475355,0.0476452,0.0475825,0.047635,0.0476152,0.0476702
2,Acceleration,9,2,0.0640272,0.0639523,0.0640899,0.0640204,0.0641182,0.0640801,0.0638477,0.0640289,0.0639941,0.0640317
2,Acceleration,10,1,0.0579298,0.05797,0.0580014,0.0579695,0.0579292,0.0579685,0.0580484,0.0579502,0.0580264,0.0579328
2,Acceleration,10,2,0.106325,0.106366,0.106158,0.106451,0.106373,0.106383,0.106215,0.106176,0.106409,0.106223
2,Residual Drift,,,0.000114595,0.000114434,0.000114643,0.000114391,0.000114512,0.000114452,0.000114519,0.00011446,0.000114494,0.000114404
3,Story Drift Ratio,1,1,0.00142203,0.00142421,0.00142221,0.0014216,0.00142253,0.00142116,0.00142148,0.00142103,0.00142256,0.00141901
3,Story Drift Ratio,1,2,0.00126195,0.00126309,0.00126084,0.00126285,0.0012636,0.00126087,0.00126004,0.00126216,0.00126209,0.00126196
3,Story Drift Ratio,2,1,0.00129499,0.00129492,0.00129578,0.00129643,0.00129524,0.00129486,0.00129455,0.00129724,0.00129592,0.00129565
3,Story Drift Ratio,2,2,0.00116342,0.00116354,0.00116148,0.00116367,0.00116233,0.00116363,0.00116292,0.0011621,0.00116132,0.00116153
3,Story Drift Ratio,3,1,0.00129049,0.00129158,0.00129419,0.00129136,0.00129158,0.00128974,0.00129034,0.00129206,0.00129112,0.00129268
3,Story Drift Ratio,3,2,0.00122327,0.00122376,0.00122494,0.00122346,0.00122167,0.00122433,0.00122265,0.00122475,0.00122286,0.0012227
3,Story Drift Ratio,4,1,0.00133126,0.00133232,0.00132977,0.00132791,0.00133191,0.00132716,0.00132947,0.00132759,0.00132899,0.00133109
3,Story Drift Ratio,4,2,0.00139533,0.00139753,0.0013981,0.00139877,0.00139587,0.00139804,0.00139659,0.00139737,0.00139564,0.0013972
3,Story Drift Ratio,5,1,0.00126967,0.00127179,0.00127218,0.00127191,0.00127201,0.00127053,0.00126963,0.00127023,0.00127276,0.00127125
3,Story Drift Ratio,5,2,0.00147252,0.00147214,0.00147334,0.00147113,0.00147186,0.00147224,0.00147205,0.00147675,0.00147307,0.00147212
