Non-Linear
Intensity #,Name,# Demand Vectors,Modeling Dispersion,SA(T),SA(T1),MAFE
1,Intensity 1,22,0,0.01,0.4,0.047582
2,Intensity 2,22,0,0.1,0.4,0.00249552
3,Intensity 3,22,0,0.2,0.4,0.000872671
4,Intensity 4,22,0,0.3,0.4,0.000452331
5,Intensity 5,22,0,0.4,0.4,0.000277948
6,Intensity 6,22,0,0.5,0.4,0.000188132
7,Intensity 7,22,0,0.6,0.4,0.000135604
8,Intensity 8,22,0,0.7,0.4,0.000102179
9,Intensity 9,22,0,0.8,0.4,7.95856e-05
10,Intensity 10,22,0,0.9,0.4,6.36032e-05
11,Intensity 11,22,0,1,0.4,5.18881e-05
12,Intensity 12,22,0,1.1,0.4,4.30515e-05
13,Intensity 13,22,0,1.2,0.4,3.62275e-05
14,Intensity 14,22,0,1.5,0.4,2.30487e-05
15,Intensity 15,22,0,2,0.4,1.25951e-05
16,Intensity 16,22,0,3,0.4,5.14541e-06
17,Intensity 17,22,0,4,0.4,2.63745e-06
18,Intensity 18,22,0,5,0.4,1.53907e-06

Intensity #,Demand Type,Floor,Dir,EQ1,EQ2,EQ3,EQ4,EQ5,EQ6,EQ7,EQ8,EQ9,EQ10,EQ11,EQ12,EQ13,EQ14,EQ15,EQ16,EQ17,EQ18,EQ19,EQ20,EQ21,EQ22
1,Acceleration,10,1,0.0256112,0.0312769,0.0180454,0.0268226,0.0226024,0.0287204,0.0509746,0.0207988,0.0151191,0.028499,0.0174959,0.037629,0.0301397,0.0347488,0.0158428,0.017125,0.0171773,0.0375308,0.0216452,0.0167058,0.0138766,0.0541657
1,Acceleration,10,2,0.0181004,0.0560967,0.0312589,0.0170757,0.0188558,0.0283238,0.0456725,0.0321193,0.0539627,0.0124881,0.0234699,0.0277708,0.0399112,0.0308327,0.0270319,0.0224207,0.0175984,0.0473913,0.022984,0.0257229,0.02783,0.041802
1,Residual Drift,,,1.42496e-05,1.43702e-05,1.25716e-05,1.41071e-05,1.27559e-05,2.25992e-05,2.10963e-05,2.115e-05,3.59914e-05,3.79023e-05,1.4177e-05,2.65201e-05,3.29031e-05,1.32274e-05,4.39736e-05,4.59217e-05,1.22777e-05,1.38839e-05,1.47783e-05,1.4594e-05,1.50906e-05,1.8653e-05
2,Story Drift Ratio,1,1,0.0019853,0.00194443,0.0012909,0.00183332,0.00112592,0.00177484,0.00191232,0.0011509,0.00105543,0.00202647,0.00124249,0.00157996,0.00157149,0.00164103,0.000914348,0.00122177,0.00126552,0.00143488,0.00163053,0.000899484,0.000958122,0.00195292
2,Story Drift Ratio,1,2,0.0014534,0.00184745,0.00140402,0.000950049,0.00177553,0.00142396,0.00147156,0.00232677,0.00209024,0.00112381,0.00130093,0.00119269,0.00189996,0.00167798,0.00206939,0.001937,0.00180761,0.00236199,0.00115461,0.00196016,0.0015432,0.00193244
2,Story Drift Ratio,2,1,0.00274082,0.00257759,0.00173919,0.00249918,0.00153052,0.00239483,0.00261636,0.00148806,0.00151029,0.00275809,0.00177965,0.00214551,0.00195447,0.0021447,0.00129786,0.00171003,0.00175992,0.00170125,0.00210195,0.00125501,0.00133372,0.00270849
2,Story Drift Ratio,2,2,0.00197356,0.00209087,0.00198049,0.00132383,0.0023496,0.00180498,0.00183204,0.00307902,0.00273952,0.00152395,0.00189736,0.00157466,0.00252735,0.00219464,0.00273115,0.00266399,0.00247686,0.00303052,0.00160474,0.00260752,0.00221801,0.00230905
2,Story Drift Ratio,3,1,0.00327893,0.00301905,0.00208418,0.00295217,0.00185616,0.00279405,0.00316703,0.00169205,0.00187597,0.00330702,0.00223222,0.00253684,0.00232522,0.00257419,0.00162179,0.00206481,0.00211561,0.00204022,0.00243205,0.00158219,0.00158627,0.00328976
2,Story Drift Ratio,3,2,0.00233585,0.00247697,0.00244697,0.00163184,0.00274987,0.00213475,0.00204317,0.00359727,0.00314582,0.00183881,0.00241133,0.00188342,0.00293874,0.00259149,0.00320151,0.00316436,0.00294343,0.0034709,0.0019464,0.0030693,0.0027436,0.00256372
2,Story Drift Ratio,4,1,0.0034905,0.0032291,0.00222309,0.00311356,0.00216016,0.00292531,0.00340959,0.00171745,0.0020812,0.00352802,0.00247169,0.00269904,0.00260285,0.00283347,0.00186043,0.0022198,0.00226082,0.00218706,0.00252952,0.00183228,0.00170654,0.00353957
2,Story Drift Ratio,4,2,0.00247106,0.0027459,0.00266044,0.00192238,0.00288929,0.00238737,0.00228582,0.00379633,0.00323789,0.00198858,0.00268121,0.00200566,0.00305226,0.00276621,0.00334828,0.00333317,0.0031458,0.00357377,0.0022052,0.00321411,0.00300397,0.00258221
2,Story Drift Ratio,5,1,0.00340678,0.0032088,0.00218504,0.00303281,0.00235467,0.00285378,0.00336112,0.00177186,0.00212523,0.00345743,0.00251242,0.00265312,0.00265646,0.00288728,0.00201227,0.00219434,0.00221976,0.00216915,0.00252529,0.00193533,0.00172052,0.00351025
2,Story Drift Ratio,5,2,0.00241024,0.00280963,0.00264694,0.00205443,0.0028191,0.00248117,0.00231931,0.00370622,0.00309077,0.00204108,0.00270462,0.00197648,0.00293396,0.00271773,0.00323173,0.00327572,0.00308444,0.00342377,0.00235867,0.00312107,0.00300059,0.00247334
2,Story Drift Ratio,6,1,0.00343472,0.00332437,0.00219359,0.00302487,0.0025583,0.00285848,0.00339656,0.00199709,0.00219664,0.00345361,0.00259578,0.00267854,0.00273775,0.00297516,0.00215856,0.0022185,0.00223147,0.00238379,0.00260929,0.00205259,0.00187785,0.0035491
2,Story Drift Ratio,6,2,0.00241666,0.00291588,0.00269507,0.00219458,0.002814,0.00259626,0.00249707,0.00368066,0.00310698,0.00211264,0.00281506,0.00198892,0.0029034,0.00272406,0.00319416,0.00329457,0.00308736,0.00337207,0.00258412,0.00310103,0.00304913,0.00260642
2,Story Drift Ratio,7,1,0.0033095,0.00327349,0.00212818,0.00289843,0.00261869,0.0027494,0.00327705,0.00210087,0.00216775,0.00332237,0.0025677,0.00263767,0.00269914,0.00292101,0.00217237,0.00214743,0.00216176,0.00247062,0.00254931,0.00205745,0.00192823,0.00343866
2,Story Drift Ratio,7,2,0.00233987,0.00285658,0.00263131,0.00220947,0.00270365,0.00257623,0.00259996,0.00349198,0.00311094,0.00208088,0.00281374,0.00207614,0.00276985,0.00263277,0.00304127,0.00316358,0.00296379,0.00320513,0.00265004,0.00296529,0.00296216,0.00265955
2,Story Drift Ratio,8,1,0.00320972,0.00332746,0.00212032,0.00279131,0.00266473,0.0026494,0.00316376,0.00216869,0.00213122,0.0032386,0.00254723,0.00266944,0.0026752,0.00287938,0.00215494,0.00208369,0.00210742,0.00255934,0.00247923,0.00202551,0.00194392,0.00337167
2,Story Drift Ratio,8,2,0.00228523,0.00279124,0.00256584,0.00220308,0.00260865,0.0025448,0.00274312,0.00334671,0.00314991,0.00204068,0.00282843,0.00216204,0.00267183,0.00256795,0.00292109,0.00303561,0.00285667,0.00309239,0.00269864,0.00285696,0.00287512,0.00283593
2,Story Drift Ratio,9,1,0.00292677,0.00314694,0.00183973,0.00235945,0.00242553,0.00234797,0.00287424,0.00195262,0.00180883,0.00290862,0.00223451,0.00237962,0.00239747,0.00260934,0.00187686,0.001758,0.00179085,0.00237238,0.00214628,0.00172011,0.00170921,0.00305387
2,Story Drift Ratio,9,2,0.00195148,0.00257954,0.00219845,0.00189762,0.00221627,0.00221382,0.00257072,0.00287288,0.00296197,0.00172767,0.00254491,0.0019142,0.00236236,0.00232139,0.00248657,0.00255311,0.0024186,0.00270733,0.00241771,0.00243479,0.00249807,0.00275261
2,Acceleration,1,1,0.289098,0.486716,0.103453,0.178841,0.141328,0.316269,0.35387,0.332483,0.216915,0.139294,0.118957,0.164173,0.289862,0.153713,0.340031,0.103898,0.0996866,0.355919,0.245191,0.200564,0.126774,0.286409
2,Acceleration,1,2,0.250722,0.428551,0.153491,0.184045,0.103052,0.190554,0.302764,0.218892,0.318848,0.0864487,0.130909,0.19184,0.278521,0.159414,0.217205,0.12131,0.11679,0.381307,0.267225,0.193666,0.156726,0.407912
2,Acceleration,2,1,0.207152,0.309596,0.0910169,0.130791,0.119063,0.226945,0.299554,0.262131,0.185829,0.146559,0.0986903,0.163097,0.315409,0.145884,0.219523,0.0761564,0.0843636,0.304616,0.156804,0.156327,0.0874454,0.282338
2,Acceleration,2,2,0.183394,0.494774,0.13713,0.13788,0.100434,0.156992,0.229077,0.163758,0.490927,0.0769248,0.119356,0.188061,0.233484,0.176727,0.18214,0.12541,0.111651,0.285135,0.215899,0.174265,0.116469,0.429037
2,Acceleration,3,1,0.188766,0.274929,0.0921052,0.14088,0.122326,0.170268,0.260716,0.21836,0.175911,0.151701,0.106825,0.165856,0.346088,0.151278,0.150703,0.0736568,0.0735234,0.284528,0.161925,0.131829,0.0768356,0.280306
2,Acceleration,3,2,0.169673,0.475028,0.119367,0.108581,0.129391,0.143726,0.237365,0.15407,0.484911,0.071199,0.129865,0.173149,0.200142,0.202961,0.159992,0.149636,0.110249,0.338795,0.175449,0.166327,0.113635,0.41419
2,Acceleration,4,1,0.207509,0.250825,0.103376,0.167661,0.116068,0.183115,0.246675,0.246401,0.140114,0.169402,0.106344,0.147623,0.345547,0.167671,0.133064,0.0851258,0.0746603,0.323225,0.152234,0.105427,0.0756478,0.254778
2,Acceleration,4,2,0.140407,0.377903,0.103365,0.0920591,0.150444,0.141402,0.241311,0.201375,0.385667,0.0720196,0.13464,0.144346,0.164635,0.210449,0.138786,0.181869,0.11467,0.293399,0.152203,0.200911,0.123103,0.384681
2,Acceleration,5,1,0.199794,0.319668,0.102112,0.169621,0.119365,0.172853,0.30981,0.217166,0.125704,0.175089,0.124365,0.15637,0.29841,0.175394,0.116232,0.0954494,0.0784906,0.327163,0.138008,0.0849567,0.0744902,0.238409
2,Acceleration,5,2,0.130014,0.350593,0.139506,0.0928445,0.160995,0.171637,0.187544,0.194198,0.322415,0.0675295,0.153145,0.149045,0.175756,0.190723,0.140264,0.174685,0.160779,0.304016,0.133247,0.191196,0.14456,0.312009
2,Acceleration,6,1,0.246678,0.312043,0.0961152,0.167384,0.151952,0.179717,0.273725,0.16928,0.117954,0.21261,0.151474,0.17376,0.233359,0.179547,0.105762,0.113901,0.0830261,0.278125,0.154151,0.089734,0.0768706,0.271443
2,Acceleration,6,2,0.148442,0.329126,0.145999,0.112672,0.163257,0.169363,0.198708,0.209612,0.356826,0.0869732,0.179062,0.136392,0.166415,0.200252,0.174735,0.201082,0.191503,0.239644,0.142167,0.208641,0.176491,0.319401
2,Acceleration,7,1,0.340363,0.381714,0.130838,0.165071,0.183935,0.205537,0.329529,0.153267,0.136945,0.289344,0.185812,0.191963,0.22812,0.181704,0.125129,0.10466,0.0978178,0.244657,0.16077,0.0933506,0.101511,0.291544
2,Acceleration,7,2,0.131948,0.290762,0.179019,0.120958,0.180426,0.160544,0.239366,0.312627,0.400548,0.0987031,0.201633,0.154992,0.19528,0.203949,0.195004,0.254224,0.21996,0.243614,0.172516,0.247089,0.238214,0.31843
2,Acceleration,8,1,0.45093,0.344591,0.171206,0.244503,0.272367,0.27338,0.43314,0.183063,0.148096,0.439559,0.258049,0.268669,0.294717,0.279399,0.157145,0.101639,0.120509,0.244573,0.222348,0.135918,0.149932,0.475981
2,Acceleration,8,2,0.169051,0.390084,0.248062,0.14354,0.222736,0.23232,0.293762,0.474508,0.367922,0.128543,0.28399,0.162174,0.223894,0.283584,0.236361,0.35169,0.27406,0.368942,0.282129,0.301633,0.310189,0.324474
2,Acceleration,9,1,0.523,0.450662,0.200327,0.25015,0.32561,0.335463,0.460621,0.220855,0.173516,0.488066,0.276589,0.304726,0.337545,0.372623,0.191292,0.121968,0.140825,0.283983,0.26651,0.174105,0.181169,0.548122
2,Acceleration,9,2,0.197006,0.383295,0.27784,0.183989,0.226564,0.281833,0.372374,0.507592,0.446492,0.142409,0.318013,0.207889,0.301797,0.294849,0.252835,0.384962,0.305069,0.375852,0.348023,0.291422,0.339433,0.446828
2,Acceleration,10,1,0.520369,0.672526,0.203096,0.219602,0.380379,0.352912,0.522517,0.26355,0.210295,0.509645,0.278552,0.382857,0.354902,0.473095,0.239914,0.14091,0.172357,0.425913,0.302102,0.195358,0.190685,0.554887
2,Acceleration,10,2,0.195797,0.471195,0.303766,0.207754,0.247269,0.289817,0.426141,0.476663,0.573133,0.154903,0.436441,0.235139,0.387659,0.356645,0.266879,0.356532,0.290037,0.447689,0.338219,0.354843,0.389526,0.475312
2,Residual Drift,,,3.30947e-05,2.67975e-05,3.06887e-05,5.91754e-05,2.86502e-05,0.000129795,4.70993e-05,8.94572e-05,0.000114998,0.000131858,2.97684e-05,3.69774e-05,0.000110647,6.85621e-05,6.84096e-05,0.000119995,3.19667e-05,2.49896e-05,4.1417e-05,6.73132e-05,4.32626e-05,8.38888e-05
3,Story Drift Ratio,1,1,0.00348878,0.00311566,0.00200815,0.00281869,0.00220573,0.00281316,0.00320666,0.0021102,0.00189858,0.00333877,0.00238891,0.00245033,0.0028615,0.00322821,0.00187947,0.00234711,0.00197718,0.00227135,0.00263365,0.00171901,0.00147657,0.00345637
3,Story Drift Ratio,1,2,0.00219021,0.00316084,0.00268298,0.00177226,0.00261629,0.00239688,0.00236809,0.00337474,0.00324222,0.0018646,0.00247415,0.00196165,0.00291989,0.00261089,0.00326447,0.00295689,0.00292964,0.00345464,0.00246725,0.00298253,0.00276415,0.00299954
3,Story Drift Ratio,2,1,0.00555602,0.00467596,0.00264725,0.00370666,0.00283482,0.00371773,0.00468107,0.00269782,0.00257193,0.00499245,0.00321557,0.00320557,0.0037407,0.00466973,0.00257915,0.00312284,0.00267042,0.00280166,0.00338721,0.00230441,0.00203456,0.00532089
