Non-Linear
Intensity #,Name,# Demand Vectors,Modeling Dispersion,SA(T),SA(T1),MAFE
2,Story Drift Ratio,5,1,0.00108287,0.0010833,0.00108202,0.00108264,0.00108364,0.00108149,0.0010827,0.00108371,0.00108344,0.00108281
2,Story Drift Ratio,5,2,0.00118188,0.0011814,0.00118264,0.00118477,0.00118236,0.00118175,0.00118134,0.00118151,0.0011823,0.00118376
2,Story Drift Ratio,6,1,0.00111834,0.001117,0.00111652,0.0011162,0.00111638,0.00111658,0.0011159,0.00111598,0.0011177,0.00111684
2,Story Drift Ratio,6,2,0.00123358,0.00123168,0.00123235,0.00123175,0.00123199,0.00123414,0.00123219,0.00123333,0.00123286,0.0012326
2,Story Drift Ratio,7,1,0.00110601,0.00110551,0.00110421,0.00110518,0.00110563,0.00110466,0.00110435,0.001107,0.0011026,0.00110383
2,Story Drift Ratio,7,2,0.00134325,0.00134273,0.00134348,0.00134203,0.00134345,0.00134352,0.00134488,0.00134182,0.00134216,0.00134435
2,Story Drift Ratio,8,1,0.00109475,0.0010952,0.00109451,0.00109401,0.00109257,0.00109448,0.0010934,0.00109252,0.00109494,0.00109471
2,Story Drift Ratio,8,2,0.00141963,0.00141875,0.00141853,0.00142186,0.00141809,0.00141915,0.00141944,0.00142277,0.00142053,0.00141828
2,Story Drift Ratio,9,1,0.000954322,0.000954047,0.000953973,0.000952932,0.000952948,0.000953244,0.00095446,0.000953349,0.000953111,0.000952512
2,Story Drift Ratio,9,2,0.00124782,0.00124444,0.0012458,0.00124818,0.00124607,0.00124666,0.00124682,0.0012478,0.00124832,0.00124563
2,Acceleration,1,1,0.0442145,0.0441567,0.0441613,0.0441396,0.0441511,0.0441875,0.0442075,0.0441513,0.0441868,0.0441459
2,Acceleration,1,2,0.0602985,0.0602859,0.0603685,0.0602493,0.0603761,0.0602117,0.0604195,0.0603309,0.0603614,0.0602543
2,Acceleration,2,1,0.0382098,0.0381645,0.0382251,0.0382494,0.0382389,0.0382373,0.038243,0.0382646,0.0381921,0.0382657
