
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2021-03-15


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, 40.0
Rrup Max (km):, 200.0
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 
Earthquake Name:, Northridge-01
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, SRSS
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
27, SRSS, 984, -, 1.0, -, 7.6, 19.4, 0.4, "Northridge-01", 1994, "LA - 116th St School", 6.69, Reverse, 36.39, 41.17, 301.0, 0.16, 1.0, RSN984_NORTHR_116090.AT2, RSN984_NORTHR_116360.AT2 , RSN984_NORTHR_116-UP.AT2  
28, SRSS, 1014, -, 1.0, -, 21.3, 33.2, 0.1, "Northridge-01", 1994, "LB - City Hall", 6.69, Reverse, 53.94, 57.68, 322.0, 0.3, 1.0, RSN1014_NORTHR_LBC090.AT2, RSN1014_NORTHR_LBC360.AT2 , RSN1014_NORTHR_LBC-UP.AT2  
29, SRSS, 1015, -, 1.0, -, 13.6, 25.8, 0.2, "Northridge-01", 1994, "LB - Rancho Los Cerritos", 6.69, Reverse, 47.79, 51.89, 302.73, 0.16, 1.0, RSN1015_NORTHR_LBR000.AT2, RSN1015_NORTHR_LBR090.AT2 , RSN1015_NORTHR_LBR-UP.AT2  
30, SRSS, 1017, -, 1.0, -, 5.9, 14.4, 0.2, "Northridge-01", 1994, "La Habra - Briarcliff", 6.69, Reverse, 58.32, 59.62, 338.27, 0.25, 1.0, RSN1017_NORTHR_BRC000.AT2, RSN1017_NORTHR_BRC090.AT2 , RSN1017_NORTHR_BRC-UP.AT2  
31, SRSS, 1018, -, 1.0, -, 7.0, 13.8, 0.2, "Northridge-01", 1994, "La Puente - Rimgrove Av", 6.69, Reverse, 56.36, 56.59, 339.52, 0.5, 1.0, RSN1018_NORTHR_RIM015.AT2, RSN1018_NORTHR_RIM105.AT2 , RSN1018_NORTHR_RIM-UP.AT2  
32, SRSS, 1024, -, 1.0, -, 11.2, 21.2, 0.4, "Northridge-01", 1994, "Lakewood - Del Amo Blvd", 6.69, Reverse, 53.56, 56.91, 267.35, 0.1625, 1.0, RSN1024_NORTHR_DEL000.AT2, RSN1024_NORTHR_DEL090.AT2 , RSN1024_NORTHR_DEL-UP.AT2  
33, SRSS, 1025, -, 1.0, -, 8.3, 29.2, 0.1, "Northridge-01", 1994, "Lancaster - Fox Airfield Grnd", 6.69, Reverse, 51.88, 52.12, 268.65, 0.3, 1.0, RSN1025_NORTHR_LAN090.AT2, RSN1025_NORTHR_LAN360.AT2 , RSN1025_NORTHR_LAN-UP.AT2  
34, SRSS, 1033, -, 1.0, -, 9.7, 17.6, 0.1, "Northridge-01", 1994, "Littlerock - Brainard Can", 6.69, Reverse, 46.31, 46.58, 485.67, 0.2, 1.0, RSN1033_NORTHR_LIT090.AT2, RSN1033_NORTHR_LIT180.AT2 , RSN1033_NORTHR_LIT-UP.AT2  
35, SRSS, 1036, -, 1.0, -, 11.3, 17.8, 0.0, "Northridge-01", 1994, "Mojave - Hwys 14 & 58", 6.69, Reverse, 85.28, 85.43, 331.74, 0.3, 1.0, RSN1036_NORTHR_MJH000.AT2, RSN1036_NORTHR_MJH090.AT2 , RSN1036_NORTHR_MJH-UP.AT2  
36, SRSS, 1037, -, 1.0, -, 7.7, 13.4, 0.0, "Northridge-01", 1994, "Mojave - Oak Creek Canyon", 6.69, Reverse, 75.64, 75.8, 422.73, 0.3, 1.0, RSN1037_NORTHR_MJO000.AT2, RSN1037_NORTHR_MJO090.AT2 , RSN1037_NORTHR_MJO-UP.AT2  
