
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2021-03-15


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, 40.0
Rrup Max (km):, 200.0
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 
Earthquake Name:, Northridge-01
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, SRSS
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
0.22,0.2569019,0.1249221,0.0383,0.2299674,0.1517736,0.137,0.1571036,0.1104837,0.0537,0.3160985,0.2601183,0.213,0.3074246,0.2472904,0.149,0.2441629,0.1841749,0.136,0.16482,0.3088358,0.122,0.2710281,0.2334344,0.0621,0.2533485,0.2956139,0.118,0.1723308,0.184992,0.0915,0.2704274,0.2414992,0.0847,0.2400718,0.3300627,0.119,0.1201334,0.1283751,0.203,0.2577894,0.2621666,0.126,0.322024,0.3681752,0.141,0.6433183,0.523172,0.25,0.1816136,0.1605752,0.123,0.3055677,0.4601598,0.145,0.199128,0.2788216,0.0917,0.3091456,0.2787698,,0.101082,0.1897393,0.153,0.2778765,0.1762928,0.0779,0.09257346,0.08273573,0.068,0.203319,0.2406131,0.0395,0.1974102,0.1833412,0.0521,0.2426393,0.2091189,0.237,0.4146525,0.3873626,0.14,0.08635131,0.115036,0.0602,0.2215302,0.1930898,0.132,0.2427352,0.4335307,0.196,0.2732409,0.2505976,0.165,0.5255713,0.4910526,0.087,0.1376983,0.2344145,0.141,0.1536928,0.1567558,0.0904,0.1044298,0.1062179,0.0809,0.2325293,0.161125,0.0819,0.5318504,0.4151183,0.218,0.220795,0.1740373,0.0706,0.1277697,0.09343096,0.0881,0.1409129,0.2106554,0.0307,0.2256195,0.1461371,0.0662,0.2000685,0.1280715,0.101,0.1012778,0.1566859,0.125,0.3775618,0.3888735,0.193,0.1919195,0.1881841,0.069,0.2204938,0.1567044,0.0488,0.183083,0.169608,0.0815,0.3746526,0.2680973,0.201,0.2284348,0.2887872,0.0449,0.201538,0.2110453,0.105,0.1687291,0.120848,0.0595,0.1210444,0.1339553,0.0486,0.1740161,0.1834447,0.109,0.1566175,0.2258042,0.0332,0.2019465,0.1762981,0.0862,0.1709965,0.2089552,0.107,0.2395997,0.2042823,0.176,0.470403,0.416847,0.115,0.1676469,0.2690234,0.0649,0.3796437,0.4553547,0.107,0.2671257,0.1985221,0.058,0.1090207,0.1593356,0.0622,0.1343723,0.1566106,0.0716,0.2160424,0.1666198,0.176,0.1544121,0.1567257,0.0579,0.1024783,0.08131821,0.0592,0.09240036,0.06546571,0.0639,0.1454006,0.1868211,0.0676
0.24,0.2233255,0.09676097,0.0355,0.2279082,0.1844074,0.146,0.169591,0.08759427,0.0597,0.2479262,0.2285787,0.155,0.2486703,0.2215272,0.107,0.2689409,0.1645543,0.142,0.2432968,0.3759492,0.0962,0.2856514,0.2594256,0.0639,0.2448,0.2428332,0.089,0.1917521,0.2216006,0.0921,0.2382544,0.3063243,0.087,0.2983944,0.3399338,0.107,0.137978,0.1459065,0.239,0.259124,0.2661305,0.139,0.328773,0.390436,0.124,0.5092074,0.5760228,0.242,0.2267794,0.107219,0.112,0.2379843,0.3388831,0.161,0.2369576,0.2621925,0.0643,0.3303656,0.2664773,,0.1307061,0.1647235,0.134,0.2137235,0.193306,0.0601,0.1102941,0.1050665,0.0485,0.1852278,0.1932174,0.0422,0.1800237,0.1670303,0.0426,0.1796175,0.1816908,0.204,0.4183288,0.3331967,0.127,0.1061696,0.1212312,0.0777,0.2162248,0.2575449,0.105,0.2133311,0.4342463,0.212,0.2365006,0.2370324,0.171,0.462624,0.4670895,0.0772,0.1494179,0.1670392,0.104,0.1451773,0.1693789,0.118,0.07384197,0.1184201,0.079,0.1574376,0.1996162,0.0732,0.674759,0.3122475,0.197,0.2214662,0.1786415,0.0719,0.1190994,0.09646507,0.0656,0.1773431,0.1866303,0.0373,0.2665538,0.1731096,0.0576,0.1408193,0.1422511,0.102,0.08928371,0.1311402,0.0892,0.4422388,0.4980895,0.222,0.2119834,0.1605873,0.0764,0.1696622,0.1648715,0.0348,0.1406646,0.1452827,0.0822,0.4399559,0.2969747,0.221,0.250615,0.2013576,0.0487,0.271648,0.2293871,0.0933,0.2082237,0.1014942,0.0713,0.1134042,0.1598299,0.0497,0.1489331,0.1661967,0.115,0.157579,0.165779,0.0321,0.2158542,0.2146446,0.096,0.1642623,0.1804533,0.137,0.2600523,0.1931852,0.173,0.4322433,0.469605,0.0913,0.248094,0.3627045,0.0677,0.5140086,0.5346352,0.151,0.258787,0.1921435,0.0532,0.1850298,0.1778308,0.0734,0.1026156,0.1293467,0.0707,0.1445226,0.1275138,0.139,0.1386524,0.114351,0.0689,0.1099716,0.08514437,0.0561,0.0979792,0.06209505,0.0703,0.1148564,0.1943284,0.0753
0.25,0.2159795,0.09531084,0.0393,0.176991,0.1782947,0.111,0.1665385,0.07872432,0.0502,0.258197,0.2282463,0.135,0.2496277,0.2243497,0.111,0.2249023,0.1672513,0.142,0.2723997,0.3490099,0.0929,0.2977526,0.2945833,0.0625,0.237799,0.2857096,0.0732,0.1558028,0.2191442,0.111,0.202544,0.2886517,0.077,0.2957034,0.3840137,0.0904,0.1522862,0.1542803,0.221,0.2383574,0.2977628,0.134,0.3669364,0.3879433,0.11,0.475823,0.6143709,0.187,0.2271089,0.100757,0.134,0.2654851,0.3267267,0.143,0.2688285,0.3172472,0.0758,0.3090835,0.2716884,,0.1511962,0.1801715,0.118,0.2328878,0.2134409,0.0597,0.1232939,0.1165717,0.0533,0.159438,0.1922517,0.0435,0.1592053,0.1695911,0.0389,0.1723831,0.1847131,0.169,0.3588217,0.2766885,0.157,0.110076,0.1255999,0.0737,0.2148093,0.2956717,0.0998,0.2150495,0.4660291,0.213,0.2510825,0.2312045,0.169,0.4626012,0.4822119,0.0825,0.1706857,0.1528685,0.0902,0.1501568,0.1745548,0.127,0.07196182,0.1219039,0.0677,0.1338997,0.2348357,0.0611,0.6540978,0.3310497,0.187,0.2384907,0.165381,0.0771,0.09985912,0.09535233,0.0589,0.1701979,0.1783025,0.0389,0.2705855,0.1917344,0.0651,0.1419999,0.1340735,0.1,0.08622731,0.1421053,0.0837,0.421423,0.5525514,0.199,0.228705,0.1585022,0.0715,0.1924283,0.1700578,0.0306,0.151519,0.1490463,0.0863,0.4734361,0.339139,0.223,0.2389805,0.1872822,0.0457,0.2895807,0.2178799,0.0809,0.2504593,0.1252006,0.0718,0.1171483,0.1494156,0.0485,0.1461719,0.1599871,0.157,0.1544586,0.163378,0.0315,0.2624267,0.2739759,0.13,0.1688287,0.1949694,0.145,0.2460201,0.2291925,0.177,0.4379133,0.4215033,0.0784,0.2114521,0.3325612,0.0761,0.5905868,0.5299484,0.158,0.2689291,0.2084324,0.065,0.2201562,0.1670247,0.0637,0.1063033,0.1294197,0.0802,0.1471603,0.1353019,0.123,0.1573034,0.1085359,0.0675,0.1102082,0.09241908,0.0566,0.1029617,0.06927159,0.0744,0.1209782,0.1985235,0.0738
0.26,0.207036,0.0967325,0.0409,0.1898126,0.1735468,0.101,0.1456181,0.07365386,0.0474,0.2373578,0.2794209,0.147,0.3192702,0.2378311,0.0997,0.1918065,0.1988212,0.15,0.2876306,0.3323788,0.0877,0.2664168,0.3215606,0.065,0.2687141,0.3287831,0.0618,0.1430894,0.1896897,0.116,0.2021611,0.2569055,0.0787,0.2720802,0.3579884,0.0926,0.1752319,0.1451747,0.192,0.2240306,0.2865236,0.113,0.375719,0.384165,0.121,0.4431935,0.6768959,0.149,0.1782543,0.09079656,0.144,0.2879319,0.296848,0.128,0.3213507,0.3188829,0.087,0.3337277,0.2802477,,0.1584341,0.2042266,0.124,0.2184791,0.1897873,0.0625,0.1293551,0.1350682,0.0626,0.1501589,0.2169122,0.0421,0.1440213,0.1625585,0.0356,0.1837666,0.1808952,0.173,0.2949762,0.263611,0.169,0.10974,0.1277202,0.0614,0.2189918,0.2679249,0.0857,0.234984,0.5161359,0.244,0.2634724,0.2462682,0.145,0.4598467,0.465339,0.0866,0.1893211,0.119595,0.0786,0.1579071,0.175249,0.133,0.08154029,0.1286211,0.0548,0.1333217,0.2376452,0.0552,0.6060721,0.3272475,0.164,0.2277794,0.1694877,0.0966,0.1020684,0.09651974,0.0533,0.1406921,0.1489777,0.0377,0.2936575,0.1858125,0.0716,0.1529177,0.117808,0.1,0.08952845,0.1498323,0.0793,0.403459,0.5913811,0.178,0.2236848,0.1644948,0.0718,0.2275547,0.177581,0.031,0.153859,0.1666558,0.0868,0.5122954,0.397881,0.219,0.1844857,0.1890817,0.0383,0.2922012,0.2114977,0.0833,0.2761269,0.1358266,0.0752,0.1066381,0.1721674,0.0437,0.1529713,0.1696638,0.162,0.1524748,0.1652823,0.0366,0.2755383,0.311766,0.142,0.1903063,0.2133407,0.144,0.2476129,0.2398984,0.214,0.4298286,0.3172077,0.0677,0.1648457,0.2503052,0.0733,0.5733378,0.5364233,0.149,0.2694547,0.2076856,0.0739,0.2312181,0.1703121,0.054,0.1094159,0.1306584,0.0858,0.1446518,0.183084,0.12,0.1948424,0.1135825,0.0615,0.1216098,0.09089641,0.0597,0.09547732,0.07804714,0.0678,0.1280488,0.2008317,0.0739
0.28,0.1870519,0.09451533,0.0365,0.2086721,0.1579447,0.0967,0.08867785,0.07749071,0.0432,0.2131489,0.4104441,0.125,0.2958091,0.21474,0.0975,0.1989971,0.2203454,0.149,0.2998391,0.324113,0.0816,0.3290387,0.3665834,0.0564,0.2593117,0.3937959,0.0621,0.1724543,0.1741082,0.124,0.2365966,0.3561315,0.0833,0.2871288,0.3334587,0.095,0.1614906,0.1880165,0.161,0.198945,0.1882688,0.13,0.4098226,0.3619306,0.107,0.5967415,0.6656812,0.147,0.1598435,0.09925403,0.132,0.298827,0.32803,0.103,0.3698401,0.2938014,0.0857,0.4173278,0.3747364,,0.1377767,0.1903426,0.139,0.1902146,0.120333,0.0566,0.1352587,0.139748,0.0875,0.1552846,0.23637,0.0377,0.1260972,0.1580787,0.0452,0.1715453,0.1714831,0.168,0.3280467,0.3483742,0.126,0.0872917,0.1282371,0.0576,0.1924457,0.1819444,0.0681,0.3081202,0.5251657,0.223,0.222685,0.285981,0.101,0.3972639,0.3741519,0.076,0.1252452,0.105644,0.0629,0.1522173,0.1824395,0.12,0.09269357,0.1661911,0.051,0.09764798,0.1594327,0.0459,0.5631537,0.2775831,0.127,0.223111,0.1574777,0.13,0.1068414,0.09673122,0.0531,0.1676238,0.1743904,0.0489,0.4039328,0.2004645,0.0748,0.1686539,0.122451,0.0975,0.09787086,0.1310716,0.0645,0.4000952,0.7428213,0.163,0.2462084,0.2143469,0.0601,0.2078109,0.1870217,0.0358,0.1512409,0.2072289,0.124,0.7023314,0.445127,0.249,0.1162744,0.1311383,0.0389,0.3388748,0.2933396,0.11,0.2976149,0.1051277,0.0534,0.1105817,0.1411566,0.047,0.188292,0.2015375,0.151,0.160135,0.1727704,0.0409,0.4040371,0.2443926,0.14,0.1972135,0.22378,0.121,0.2712682,0.1849632,0.181,0.4461833,0.2648391,0.0817,0.1426865,0.2070175,0.0539,0.6129611,0.5167512,0.175,0.2160108,0.2406246,0.0651,0.1564407,0.1411309,0.0502,0.1258749,0.148683,0.101,0.1265908,0.1885829,0.0936,0.2408134,0.1400853,0.0633,0.1580644,0.09308217,0.0517,0.09702595,0.08214593,0.0528,0.108523,0.2074275,0.0656
0.29,0.1834808,0.09102103,0.0353,0.2449573,0.1830361,0.0897,0.1071824,0.07285397,0.0407,0.2218671,0.4517882,0.124,0.2483876,0.2273935,0.0944,0.1832491,0.2255684,0.142,0.2705122,0.3092057,0.0817,0.30123,0.3213179,0.0606,0.2369713,0.3646107,0.0692,0.1696578,0.1726664,0.13,0.270402,0.3254219,0.0916,0.3109405,0.2517856,0.107,0.1648725,0.2081367,0.149,0.1882621,0.1833353,0.139,0.4078008,0.3592854,0.101,0.6167826,0.6433243,0.148,0.1522563,0.08831646,0.127,0.3055066,0.380619,0.0945,0.364642,0.287622,0.0824,0.4824107,0.3760246,,0.1300051,0.2046552,0.123,0.1980135,0.110214,0.0558,0.1725475,0.1463286,0.103,0.1645481,0.223012,0.0379,0.129221,0.1989898,0.0487,0.1672327,0.2032086,0.138,0.319425,0.3254521,0.111,0.09113165,0.1472601,0.0615,0.1832437,0.2069499,0.064,0.3522086,0.5050296,0.207,0.2576155,0.2511311,0.105,0.3595762,0.3999844,0.0744,0.1475818,0.09643474,0.0618,0.1433344,0.187599,0.115,0.09714808,0.1850495,0.0507,0.09261678,0.1469547,0.0422,0.5957136,0.2484564,0.123,0.2034686,0.1834148,0.119,0.1324281,0.08943895,0.0518,0.1672364,0.1695108,0.056,0.4286695,0.1987032,0.0782,0.1650057,0.1228459,0.0987,0.09948188,0.1289772,0.0691,0.4253837,0.7765519,0.183,0.2781313,0.2258712,0.0515,0.1994658,0.1778141,0.0418,0.156845,0.1927669,0.152,0.7484241,0.4162611,0.258,0.1011076,0.1408047,0.0352,0.3592761,0.3395678,0.112,0.2849174,0.1140633,0.0486,0.1136728,0.1376259,0.0463,0.1778158,0.2305335,0.156,0.176805,0.1986483,0.0409,0.4489375,0.2229502,0.145,0.2074429,0.2339081,0.11,0.272723,0.1604625,0.185,0.4713039,0.2966928,0.0918,0.1360584,0.246823,0.0411,0.6175764,0.5494889,0.201,0.186954,0.2495877,0.0514,0.1400353,0.1527805,0.0539,0.1240176,0.1503088,0.0888,0.1324846,0.2083648,0.0831,0.2243925,0.1582078,0.061,0.1501505,0.09056062,0.051,0.1149984,0.08689766,0.0497,0.1138003,0.2207837,0.0747
0.3,0.1728694,0.09265778,0.0316,0.2562014,0.2163294,0.0813,0.1167123,0.07140599,0.0408,0.2418024,0.438668,0.128,0.2254428,0.2336642,0.0977,0.1708606,0.1977789,0.128,0.2269697,0.2814629,0.0751,0.3177557,0.32647,0.0643,0.2124142,0.3033463,0.075,0.1668554,0.1858802,0.128,0.2867771,0.2535419,0.0939,0.304696,0.2338377,0.104,0.1839362,0.2263207,0.155,0.2244851,0.1928196,0.135,0.3941532,0.3686475,0.0937,0.5483473,0.6465102,0.144,0.1491903,0.08178404,0.124,0.3104564,0.3938383,0.105,0.3371798,0.3116402,0.0809,0.5462921,0.3742644,,0.1035341,0.2593874,0.13,0.1672008,0.1285414,0.0518,0.1814549,0.1589125,0.107,0.1883156,0.1991373,0.0354,0.1372376,0.2212937,0.0515,0.1589765,0.2131769,0.105,0.2992698,0.2920358,0.107,0.1117684,0.1551185,0.0639,0.1590238,0.2183893,0.066,0.3385577,0.5028516,0.197,0.3043083,0.259415,0.103,0.3065545,0.399022,0.0751,0.1649434,0.1142206,0.0623,0.1533078,0.189858,0.12,0.09727956,0.2071487,0.0499,0.1015677,0.1398008,0.0426,0.6055578,0.2417134,0.121,0.1864601,0.2084509,0.109,0.1483486,0.08799385,0.0548,0.1373595,0.1591053,0.0565,0.4048629,0.196916,0.0772,0.1830937,0.1284438,0.116,0.1132362,0.1328003,0.0781,0.4407178,0.8153202,0.198,0.2973014,0.2379241,0.0489,0.1923816,0.1576802,0.0442,0.1586113,0.1736725,0.192,0.7402847,0.3633396,0.26,0.09753007,0.1527892,0.0374,0.3438167,0.3952576,0.118,0.2677111,0.1323723,0.0465,0.1047134,0.1402638,0.0413,0.1488478,0.2542731,0.162,0.2003593,0.2344153,0.0377,0.4212014,0.2076903,0.148,0.2043857,0.2346002,0.0996,0.2386922,0.164521,0.193,0.4592823,0.3133214,0.0961,0.131292,0.2716612,0.0419,0.5688891,0.6069673,0.226,0.1566695,0.2389769,0.0411,0.1486037,0.1641283,0.061,0.1086413,0.1331556,0.0835,0.138604,0.2147651,0.0771,0.2069458,0.1703728,0.0549,0.1483915,0.08426242,0.0563,0.1277519,0.1020204,0.0486,0.1056904,0.2670723,0.0693
0.32,0.155922,0.08998259,0.0336,0.2755572,0.2479022,0.0662,0.1286702,0.08507089,0.0476,0.2078338,0.3165605,0.129,0.1516809,0.2043948,0.0885,0.1877809,0.2128164,0.105,0.1909433,0.344753,0.071,0.316695,0.298537,0.0518,0.2306662,0.2245462,0.0636,0.1904724,0.1999394,0.103,0.2400433,0.186456,0.0746,0.2844148,0.1882412,0.0872,0.1958714,0.2687155,0.185,0.2348963,0.1636808,0.112,0.4680943,0.4583584,0.115,0.4485325,0.5030035,0.123,0.1435151,0.0689209,0.118,0.3208155,0.4422791,0.0912,0.2546549,0.3602928,0.0645,0.5287898,0.3215118,,0.09783168,0.2369798,0.107,0.1503854,0.1356781,0.0725,0.149685,0.1327853,0.114,0.2303663,0.1926591,0.0348,0.1494442,0.1801732,0.054,0.1800456,0.2362058,0.092,0.3494331,0.2843493,0.111,0.1087281,0.1222203,0.0658,0.1770427,0.1749361,0.0724,0.3071161,0.5379488,0.181,0.331917,0.297231,0.12,0.3056659,0.3916558,0.0587,0.1608122,0.1271018,0.0686,0.1604465,0.1744423,0.107,0.07886986,0.2379705,0.0644,0.1160705,0.1640986,0.0522,0.5751548,0.2491724,0.0932,0.1640378,0.251262,0.0784,0.1684633,0.0999597,0.0665,0.102558,0.1681225,0.0463,0.4188961,0.2257569,0.0626,0.1753211,0.1238542,0.135,0.1204787,0.1358179,0.0924,0.4032171,0.6951067,0.174,0.2968795,0.228509,0.0461,0.2023947,0.1089363,0.0483,0.1447495,0.1367489,0.191,0.6047094,0.3085147,0.269,0.09430742,0.1330871,0.0406,0.3437604,0.4549751,0.148,0.172529,0.1375332,0.0437,0.0895592,0.1174282,0.0319,0.1831675,0.3391336,0.175,0.1885743,0.2448475,0.036,0.3562558,0.1913787,0.16,0.2127623,0.1967269,0.0649,0.2319107,0.1568218,0.158,0.4351853,0.2582681,0.0757,0.1350298,0.244655,0.045,0.5293708,0.5915207,0.179,0.1346311,0.2041058,0.0325,0.1813767,0.1535217,0.0618,0.07787673,0.1458043,0.097,0.1569057,0.1810522,0.0741,0.1955584,0.16614,0.0539,0.1643544,0.07774755,0.061,0.1403005,0.1049701,0.0501,0.09844317,0.30475,0.069
0.34,0.1264219,0.08467665,0.0376,0.2747861,0.2276303,0.0739,0.1295312,0.09726788,0.0534,0.1805139,0.250838,0.118,0.1543571,0.1531863,0.0697,0.2202361,0.2304103,0.106,0.2043081,0.3339532,0.0709,0.2785305,0.3023978,0.0464,0.2787734,0.230368,0.0645,0.2133839,0.1812799,0.0816,0.2228721,0.196636,0.0542,0.21601,0.1595808,0.0967,0.2378255,0.3227465,0.171,0.2721249,0.2093934,0.0925,0.5625432,0.4781584,0.109,0.4335955,0.5923425,0.168,0.139445,0.05691357,0.0882,0.3529311,0.4119386,0.0872,0.2909867,0.3819926,0.0616,0.4229587,0.3100913,,0.09956095,0.2043566,0.097,0.1654788,0.1350388,0.0748,0.1119969,0.09693376,0.0852,0.2556639,0.1888845,0.0356,0.153682,0.1759924,0.0431,0.1657475,0.2504508,0.101,0.3703213,0.3797157,0.117,0.0872871,0.09908129,0.065,0.1630075,0.1512405,0.0728,0.3176703,0.5097935,0.155,0.3176494,0.2896571,0.126,0.380115,0.3526848,0.0545,0.1519952,0.1334444,0.0545,0.1683787,0.1436269,0.0758,0.07387993,0.2345799,0.0846,0.1571986,0.1491084,0.0606,0.5463349,0.1956604,0.0985,0.2057359,0.1977445,0.0719,0.1854463,0.08476017,0.0897,0.09994598,0.1577633,0.0444,0.3294361,0.2660601,0.0502,0.1893526,0.1089257,0.139,0.1313678,0.1393369,0.0844,0.4364471,0.5958084,0.165,0.2966452,0.2027327,0.0619,0.1660203,0.09911659,0.0503,0.1387726,0.1353433,0.121,0.6031063,0.2988564,0.234,0.09635504,0.08932011,0.0358,0.3850149,0.3954067,0.131,0.1358395,0.1029277,0.0409,0.07852063,0.1177372,0.0323,0.1723973,0.3384908,0.131,0.1672613,0.2301946,0.0378,0.3299538,0.2267025,0.147,0.2596664,0.1816723,0.0643,0.1965715,0.1795243,0.113,0.3948506,0.252365,0.09,0.1176238,0.2551495,0.0563,0.5431919,0.488555,0.125,0.1397193,0.1476959,0.0335,0.1489472,0.170816,0.0506,0.07731842,0.1303931,0.119,0.1829673,0.1930232,0.0852,0.1851922,0.1472796,0.0687,0.2010993,0.08749098,0.0682,0.1574624,0.09829593,0.064,0.09247021,0.2295738,0.0797
0.35,0.1203342,0.08631192,0.0316,0.2671036,0.2073335,0.0831,0.1281247,0.115799,0.0493,0.1900841,0.2529835,0.123,0.1583235,0.1361441,0.0707,0.2054522,0.2494792,0.098,0.2204788,0.303497,0.0691,0.2815072,0.3060479,0.0472,0.3032336,0.2380421,0.0627,0.2116545,0.1782788,0.0786,0.1981049,0.1953972,0.0575,0.1955878,0.1507916,0.0882,0.2450617,0.3327542,0.15,0.2823894,0.2339922,0.0915,0.6429021,0.5395723,0.11,0.40592,0.636542,0.167,0.1253201,0.04949038,0.0833,0.3147967,0.4354833,0.0824,0.3125606,0.3207731,0.0685,0.383516,0.3430286,,0.1037046,0.1756087,0.104,0.1705082,0.145474,0.0803,0.09950528,0.08577139,0.0752,0.2547144,0.194048,0.0356,0.1540122,0.1790471,0.0405,0.1567426,0.2556403,0.111,0.4161792,0.429768,0.118,0.08986409,0.09887214,0.0624,0.1687511,0.1442819,0.0693,0.323761,0.4972257,0.137,0.325388,0.2848354,0.121,0.3993095,0.3169617,0.0538,0.1561636,0.1312715,0.0576,0.1587518,0.125834,0.0631,0.07620811,0.2280726,0.0909,0.159671,0.1352738,0.0632,0.5451905,0.1826778,0.101,0.235681,0.1654842,0.078,0.1880905,0.08919878,0.0891,0.09709141,0.1378625,0.0442,0.2810622,0.2835013,0.0535,0.187717,0.1031681,0.137,0.1394251,0.1320459,0.0788,0.4352551,0.6233611,0.16,0.2995645,0.2024259,0.0651,0.1714148,0.09363434,0.0489,0.1523657,0.136419,0.103,0.5868327,0.3401639,0.213,0.09920997,0.08758615,0.0414,0.3670244,0.3378699,0.113,0.1222589,0.08453511,0.0441,0.06581663,0.1095598,0.0318,0.1729661,0.3258412,0.102,0.1732033,0.2255414,0.0362,0.3248916,0.2609303,0.131,0.2680992,0.1672747,0.0662,0.1934592,0.1992,0.11,0.4256448,0.2459426,0.1,0.1295938,0.2925983,0.0514,0.5315109,0.4710114,0.118,0.1355248,0.1435188,0.0331,0.1257763,0.1732883,0.0463,0.08245248,0.1160805,0.101,0.1613344,0.1880498,0.0933,0.1616171,0.1361282,0.0736,0.1872807,0.09588759,0.0746,0.1522736,0.09571649,0.067,0.08888862,0.1906628,0.0779
0.36,0.1038139,0.07840029,0.0298,0.2791472,0.1931573,0.0966,0.1225324,0.1268863,0.0475,0.2036585,0.2682081,0.117,0.1576507,0.1443959,0.0678,0.1902261,0.2589778,0.0869,0.2400105,0.3036382,0.0683,0.309224,0.2968423,0.0482,0.356402,0.2577032,0.0653,0.2072346,0.195692,0.0797,0.1918925,0.1851153,0.0643,0.200456,0.1677373,0.0828,0.2438483,0.3273348,0.147,0.3115299,0.268211,0.0937,0.6879778,0.6249464,0.11,0.3609031,0.6636563,0.162,0.1149953,0.04430426,0.0732,0.2690488,0.4652086,0.0789,0.3718034,0.28946,0.0823,0.3271452,0.367622,,0.1138189,0.1546379,0.109,0.1725034,0.1457729,0.0808,0.09688057,0.08785839,0.0686,0.257438,0.1901266,0.0379,0.1492711,0.1932855,0.0431,0.1419603,0.2746603,0.111,0.4292764,0.4563575,0.108,0.09357675,0.1051876,0.0625,0.1794975,0.1543486,0.0666,0.3300253,0.4968573,0.112,0.3143446,0.2715459,0.114,0.4119367,0.2821853,0.0558,0.1518694,0.1398822,0.0639,0.151822,0.1197929,0.0562,0.07573889,0.2121512,0.0862,0.1510154,0.1172019,0.0643,0.5489498,0.1804272,0.098,0.2430621,0.1490421,0.0782,0.1822439,0.09497343,0.0829,0.09753983,0.1319787,0.0463,0.2595586,0.310523,0.0589,0.1651029,0.1075615,0.12,0.1344035,0.1218747,0.0774,0.4158026,0.6943654,0.146,0.3328047,0.1881859,0.0676,0.1753632,0.09647489,0.0483,0.1549308,0.1357793,0.108,0.5480374,0.3764578,0.196,0.09687811,0.08473995,0.0437,0.3768118,0.27701,0.0946,0.1344591,0.09747557,0.0477,0.06188054,0.1040914,0.0294,0.1777427,0.3116144,0.0891,0.1706917,0.2425348,0.034,0.3003795,0.2846194,0.116,0.2826838,0.1866012,0.0658,0.1887531,0.2070364,0.113,0.4333367,0.2528288,0.103,0.1400953,0.31784,0.0514,0.5082791,0.5417309,0.124,0.1335697,0.1426046,0.0346,0.1221277,0.1624678,0.0449,0.08681567,0.09614934,0.0846,0.1461919,0.1844241,0.0901,0.1586177,0.1249444,0.0729,0.1733006,0.1016349,0.0812,0.1358725,0.08562619,0.065,0.08521798,0.1639232,0.0782
