
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2021-09-08


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, 7.5
Magnitude Max:, 7.8
Rrup Min (km):, 80.0
Rrup Max (km):, 100.0
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 
Earthquake Name:, chi-chi
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, SRSS
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
6.5,0.03447306,0.07758583,0.01531712,0.01868449,0.02847927,0.02548352,0.02860086,0.02764807,0.01624626,0.0186722,0.06424827,0.01846903,0.03390321,0.10072124,0.04380814,0.01553095,0.01238694,0.04052995,0.01365501,0.02315936,0.03412085,0.02411333,0.01884409,0.01968738,0.02625357,0.05063722,0.01198864,0.00730549,0.01191112,0.02479939,0.02354909,0.01267942,0.07185204,0.03352178,0.02173951,0.05876886,0.03701017,0.01161088,0.10849231,0.14755588,0.02410915,0.04936813,0.02785071,0.01252683,0.01468166,0.03172328,0.00468856,0.00571333,0.0314276,0.04798893,0.0011525,0.03465999,0.03488768,0.03184008,0.02613091,0.03018656,0.024967,0.02187586,0.02001977,0.0300056,0.03876143,0.03423261,0.02420931,0.02658523,0.02367745,0.02837809,0.11102595,0.04536578,0.09590426,0.09235098,0.11688946,0.04430928,0.09465643,0.05905366,0.00596326,0.02259957,0.02258245,0.0229997,0.02392146,0.02314968,0.01893577,0.02117768,0.02020298,0.02397881,0.02053717,0.00734345
7.0,0.03133254,0.06890084,0.01424842,0.0185963,0.02426717,0.02944531,0.02810513,0.02420474,0.01859047,0.01740098,0.06651357,0.0189919,0.03224653,0.08204999,0.0393202,0.01726322,0.01311365,0.03627055,0.0140879,0.0228821,0.03041541,0.02318955,0.01703374,0.0181084,0.02106418,0.04513889,0.01290838,0.00656232,0.0118799,0.02390574,0.02144793,0.0117549,0.06019866,0.03213571,0.02124497,0.05115408,0.03412912,0.01227209,0.08461576,0.11431815,0.02295769,0.03971238,0.02333412,0.00868489,0.01136788,0.02426293,0.00429816,0.00457113,0.02655175,0.03893876,0.00084505,0.03160733,0.03239589,0.02750259,0.02246506,0.02707564,0.02201166,0.02009903,0.01877234,0.02680815,0.03432609,0.03050342,0.02281154,0.02323238,0.02094194,0.02604094,0.10718333,0.04817664,0.08941486,0.08967615,0.1089978,0.04875089,0.09367823,0.05975936,0.00534179,0.0193897,0.01957429,0.01973391,0.02074854,0.01980586,0.01701693,0.01884225,0.01788988,0.02075274,0.0203646,0.00655681
7.5,0.0293248,0.06393271,0.01345076,0.02212299,0.01993662,0.03019508,0.024218,0.02031871,0.02062856,0.02145062,0.06826013,0.01895618,0.0311244,0.07023503,0.03752405,0.01820138,0.01359342,0.03363073,0.01543169,0.02248359,0.02773796,0.02110313,0.01663814,0.01699401,0.01770939,0.04131214,0.01368289,0.00594867,0.0116264,0.02385241,0.02255344,0.01105327,0.05357699,0.03176977,0.02171496,0.04679508,0.03414731,0.01325676,0.07337849,0.09055609,0.02427707,0.03378085,0.01853237,0.00763376,0.00778163,0.02050676,0.00396036,0.00397564,0.02281529,0.03277571,0.00060453,0.02883135,0.02787521,0.02265129,0.02040183,0.02452325,0.01992818,0.01834227,0.01725883,0.02499297,0.03319883,0.03337882,0.02050363,0.02056236,0.01834286,0.02232849,0.10450994,0.05149454,0.08616821,0.08450643,0.10597464,0.05337628,0.08741302,0.05932854,0.00505634,0.01762898,0.01811505,0.01812383,0.01879484,0.01822534,0.01498307,0.0171885,0.01602989,0.018387,0.01904869,0.00612237
8.0,0.02700055,0.0576629,0.01264296,0.0254077,0.02056169,0.0302745,0.02004513,0.01650815,0.01903369,0.02484336,0.05426122,0.01879536,0.02992782,0.06067733,0.0346707,0.01725278,0.0143158,0.03172607,0.01601424,0.02168853,0.02694583,0.02157184,0.01584992,0.01703833,0.01552688,0.03680028,0.0141916,0.00613625,0.01060826,0.02392059,0.02132693,0.0101061,0.04686297,0.02895535,0.02046822,0.04407492,0.0328274,0.01397233,0.06149168,0.07641526,0.02401878,0.0292806,0.01636174,0.006309,0.00643103,0.01723826,0.00410077,0.00333882,0.01747435,0.02667704,0.00047695,0.02521781,0.02586951,0.0207562,0.01868255,0.02251187,0.01772662,0.01643582,0.01557227,0.0244292,0.03231402,0.03508372,0.018072,0.01834919,0.01604873,0.01937587,0.0981076,0.05157034,0.0779065,0.07527634,0.09499906,0.05432677,0.08153734,0.05786045,0.0052488,0.01579716,0.01621227,0.01630668,0.01676924,0.01621628,0.01297915,0.01516581,0.01433089,0.01637542,0.01789283,0.00691894
8.5,0.02489798,0.05269552,0.01176399,0.02497018,0.0173127,0.02793278,0.02104835,0.01229423,0.01485521,0.02555483,0.04330281,0.01777472,0.02889997,0.05200489,0.0320158,0.01640522,0.01431418,0.02936723,0.01559342,0.02054878,0.0270247,0.0219905,0.01635635,0.01787234,0.01480016,0.03457748,0.01433436,0.0066029,0.00996372,0.02190689,0.02162189,0.00911868,0.03882192,0.02691731,0.02024797,0.03877002,0.02799367,0.01383788,0.05467708,0.06348855,0.02337508,0.02452319,0.01495544,0.00570285,0.00588049,0.0152279,0.00451002,0.00283569,0.01683129,0.02632077,0.00040653,0.02265542,0.02367192,0.01872939,0.01715701,0.02052545,0.01600854,0.01510255,0.01410528,0.02443145,0.03112034,0.0348847,0.01654033,0.01714494,0.01419451,0.01702903,0.09021783,0.04953869,0.07185243,0.07021393,0.08989338,0.05276626,0.07528629,0.05576601,0.00525263,0.01408529,0.01412161,0.01431042,0.01540522,0.01428336,0.01147604,0.01328598,0.0125668,0.0144861,0.01561924,0.00711518
9.0,0.02259731,0.04751126,0.01074774,0.01979344,0.0132981,0.0220646,0.02052735,0.00959942,0.01107183,0.02109859,0.04049938,0.01736255,0.02601824,0.04398446,0.02892972,0.01544915,0.01424826,0.02698163,0.01493714,0.02047562,0.02535836,0.02115336,0.01641147,0.01760448,0.01403896,0.0319352,0.01400616,0.00668612,0.00920802,0.02122707,0.02074106,0.00830477,0.03497881,0.02459229,0.0189349,0.03131757,0.0270784,0.01364422,0.04585125,0.05373984,0.02147027,0.01964807,0.0123904,0.00585136,0.00650707,0.01309056,0.00452388,0.00299664,0.01419348,0.02084923,0.00034724,0.02110138,0.02183687,0.01690149,0.01568245,0.01952836,0.01447838,0.01417897,0.0131153,0.02401865,0.0301308,0.03411292,0.01534909,0.0155433,0.01319251,0.01482648,0.08151185,0.04665487,0.06609758,0.06448623,0.07914295,0.04951643,0.07008932,0.05227312,0.0050478,0.01264184,0.01209377,0.01238089,0.01403647,0.01259507,0.01051664,0.01199186,0.01114693,0.01312738,0.01473274,0.00647644
9.5,0.02037829,0.04303415,0.00964989,0.01633219,0.01035475,0.01749291,0.01924535,0.00888004,0.00994561,0.01723498,0.03600447,0.01616121,0.02243142,0.03883977,0.02489607,0.0147685,0.01321982,0.02423008,0.01379126,0.01938265,0.02300485,0.01900223,0.01540074,0.01623594,0.01241586,0.02835682,0.01290648,0.00617301,0.0077524,0.01949627,0.01869901,0.00768432,0.03210734,0.02148333,0.01729183,0.02817468,0.02577366,0.01278471,0.03877818,0.0484811,0.01829001,0.01668068,0.01070607,0.00590618,0.00719973,0.01021601,0.00425678,0.0029225,0.01141369,0.01534441,0.00032708,0.01992022,0.0203978,0.01571171,0.01459784,0.01835508,0.01344332,0.01303553,0.01265803,0.02291732,0.02838746,0.03300923,0.01429118,0.01359288,0.01248579,0.01389201,0.07326195,0.04256428,0.06170029,0.05832373,0.0714141,0.04582711,0.06277124,0.04875617,0.00470027,0.01116929,0.01047032,0.01102963,0.01258622,0.01124628,0.00926786,0.01042691,0.00992783,0.01189907,0.01309661,0.00578678
10.0,0.01829286,0.03916448,0.00854419,0.01367166,0.00863172,0.01553589,0.01448843,0.00785007,0.00885876,0.01425109,0.03007725,0.0146365,0.020007,0.03340617,0.02082156,0.01377362,0.01183135,0.02069368,0.01268075,0.01722983,0.02025407,0.01685398,0.01374307,0.01494151,0.01094531,0.02427481,0.01175624,0.00574026,0.00624069,0.01780095,0.01716332,0.00716769,0.02870295,0.01964631,0.01685804,0.02555819,0.02312223,0.01147495,0.03456455,0.04274181,0.01662994,0.01395823,0.00852658,0.00569302,0.00677002,0.00827548,0.00388489,0.00267849,0.00924611,0.01230515,0.0003158,0.01895958,0.01841738,0.01479793,0.01364272,0.01702833,0.0123025,0.01213827,0.01189707,0.02238739,0.02628833,0.03196945,0.01287288,0.01189243,0.01163317,0.01293101,0.06791914,0.03835711,0.05473553,0.05461853,0.06451116,0.04401973,0.05658178,0.04500312,0.00438076,0.00998421,0.00906035,0.00944664,0.01074245,0.00999245,0.00832403,0.00926448,0.00868088,0.01025026,0.01188532,0.0051109
11.0,0.01482088,0.03174359,0.00691977,0.00871522,0.00737443,0.00903814,0.00893854,0.00712959,0.00691798,0.00882352,0.01850391,0.01193922,0.01644966,0.02431959,0.01802313,0.01151531,0.00991927,0.01754549,0.01077542,0.01336091,0.01615743,0.01429824,0.01145935,0.01246645,0.00752033,0.01978519,0.00989919,0.00516964,0.00479105,0.01389985,0.01347769,0.00674505,0.02151485,0.01704345,0.01359311,0.02066024,0.01636101,0.00976176,0.02504157,0.03018874,0.01398391,0.00971584,0.00628019,0.00468576,0.00571573,0.00737183,0.00329289,0.00265869,0.0093217,0.01119158,0.00027265,0.01707018,0.01547583,0.01299955,0.01198963,0.01396632,0.01037518,0.01021562,0.00998513,0.01846692,0.02249491,0.02750554,0.01103316,0.00962496,0.00962448,0.01127545,0.05550571,0.03095459,0.0457678,0.04457994,0.0521066,0.03806127,0.04818563,0.03727707,0.00352959,0.00864895,0.00815958,0.00864466,0.00934386,0.00882756,0.00731129,0.00793757,0.00741836,0.0090042,0.00921443,0.00393699
12.0,0.01211938,0.02561821,0.00573339,0.00876507,0.006865,0.00887781,0.00828271,0.00772405,0.00734701,0.00856925,0.01423914,0.00959562,0.01246518,0.01925527,0.01422719,0.00859657,0.00810553,0.01415138,0.00853344,0.0107541,0.0128742,0.0109707,0.00874131,0.00948544,0.00573072,0.01630824,0.0080199,0.00446044,0.00395438,0.01143199,0.01083686,0.00599672,0.01653195,0.01304812,0.01031242,0.01467013,0.012594,0.00807103,0.01881846,0.02335745,0.01076069,0.00805972,0.00569347,0.00405793,0.00446533,0.00741234,0.00292443,0.00261111,0.00909398,0.01033565,0.00022113,0.01470611,0.01286055,0.01051165,0.00955133,0.01178384,0.00849483,0.00767235,0.00736341,0.01457261,0.01775966,0.02236604,0.00900519,0.0081942,0.00788184,0.00905005,0.04649831,0.02566655,0.03831076,0.03479722,0.04302337,0.03130623,0.03820593,0.03047641,0.00300382,0.00727701,0.00700641,0.00738762,0.00787307,0.00740787,0.00621892,0.00680439,0.00635836,0.00758473,0.00734029,0.00338282
13.0,0.00988566,0.02041036,0.00478807,0.00852837,0.00664854,0.00825612,0.00838106,0.00746314,0.00679828,0.00856159,0.00995146,0.00729091,0.00996729,0.01450636,0.01081552,0.00737053,0.00672766,0.01042244,0.00685653,0.0082172,0.00939371,0.00772535,0.0067593,0.00731994,0.00516508,0.01229816,0.00663059,0.00355542,0.00361075,0.00847683,0.00827731,0.00566733,0.01225722,0.00958573,0.00904797,0.01088171,0.00974804,0.00658527,0.01459144,0.01881787,0.00830061,0.00789031,0.00516657,0.00399428,0.00416399,0.00697958,0.00258498,0.0023429,0.0094292,0.00943512,0.00018556,0.01213745,0.01043729,0.0080352,0.00759556,0.0098309,0.00675063,0.00617599,0.0057176,0.01273277,0.01448994,0.01842133,0.00700149,0.00655058,0.00635712,0.00775406,0.03660353,0.02201774,0.03033353,0.0307979,0.03334251,0.02436151,0.03054274,0.02467973,0.00262425,0.00584316,0.0056854,0.00613611,0.00651042,0.006018,0.00526767,0.00552717,0.0052133,0.00626309,0.00617205,0.00295087
14.0,0.00817086,0.01708827,0.00390695,0.00739322,0.00618358,0.00730475,0.00644339,0.00658938,0.00623984,0.00657331,0.00762697,0.00560545,0.00787613,0.01080757,0.00791781,0.00623595,0.00574186,0.00758147,0.00583285,0.00683823,0.00747964,0.00634065,0.00489048,0.00534985,0.00477838,0.00873338,0.00560196,0.00280945,0.00298811,0.00699968,0.00597104,0.00510017,0.00937962,0.00742159,0.00737676,0.0083216,0.00775041,0.00549841,0.01199506,0.01467874,0.00646164,0.00703136,0.00455256,0.00386043,0.00396438,0.00647564,0.00212371,0.00225181,0.00887157,0.00757127,0.00016027,0.00998017,0.0083417,0.00681727,0.0063685,0.00803817,0.00536381,0.0051415,0.00449171,0.01055953,0.01223851,0.01574244,0.00554992,0.00537352,0.00506574,0.00661127,0.02868351,0.01939202,0.02562346,0.02616334,0.02848385,0.02105907,0.02650374,0.02176883,0.00243718,0.00476696,0.0046259,0.00495681,0.00540022,0.00480441,0.00431387,0.00453486,0.00426281,0.00505699,0.00512496,0.00295335
15.0,0.00684183,0.0144871,0.00323119,0.00528471,0.00486658,0.00589923,0.00575572,0.00574559,0.00509362,0.00526898,0.00723923,0.00459723,0.00657606,0.00904797,0.00712922,0.00530759,0.00508742,0.00661411,0.00508655,0.00549932,0.00632473,0.00526549,0.0038454,0.00406635,0.00424029,0.00664307,0.0049523,0.00225819,0.00264483,0.00564219,0.00475669,0.00444266,0.00756233,0.0068004,0.00576681,0.00701935,0.00650321,0.00477008,0.01007404,0.01147237,0.00564977,0.00591919,0.00411768,0.00314601,0.00334244,0.00535945,0.00189546,0.002116,0.00619067,0.00629805,0.00013767,0.00839667,0.00692054,0.0057409,0.00535127,0.00658248,0.0043326,0.00417904,0.0035972,0.00884048,0.010594,0.01356293,0.0044334,0.00443438,0.00404164,0.00557962,0.0252878,0.01646387,0.02131057,0.02156382,0.02406992,0.01837004,0.02216014,0.0186693,0.00220564,0.00384103,0.00368146,0.00402414,0.00449161,0.00403387,0.00367079,0.00363756,0.00342716,0.00424962,0.00418309,0.00262067
20.0,0.0032865,0.00630343,0.00171352,0.00312987,0.00256238,0.0031674,0.00325345,0.00279291,0.00295249,0.00294314,0.00413121,0.00211093,0.00290631,0.00401422,0.00412504,0.00292148,0.00284379,0.00341636,0.00271421,0.00210904,0.00316241,0.002683,0.00151384,0.00193943,0.00190373,0.00372144,0.00275485,0.00121057,0.00116323,0.00214187,0.00206614,0.00270882,0.00446447,0.00380442,0.00280561,0.0035397,0.0030432,0.00252715,0.00476749,0.0045035,0.00300212,0.00330148,0.00193521,0.0015979,0.00163501,0.00309835,0.0009377,0.00093871,0.00363008,0.00406098,7.035e-05,0.00449162,0.00384015,0.00305361,0.00280883,0.00344796,0.00225963,0.00205069,0.00184932,0.00436413,0.00564681,0.0056389,0.00238427,0.00208123,0.00187042,0.00282268,0.01026297,0.00756048,0.00926863,0.00895822,0.0100658,0.00746401,0.00974675,0.008034,0.00109086,0.00181273,0.00187436,0.00180964,0.00189429,0.0018192,0.00167818,0.00173864,0.00154684,0.0018723,0.00181717,0.00112708

 -- Unscaled Horizontal & Vertical Spectra, as recorded --
Period (sec),RSN-1192 Horizontal-1 pSa (g),RSN-1192 Horizontal-2 pSa (g),RSN-1192 Vertical pSa (g),RSN-1221 Horizontal-1 pSa (g),RSN-1221 Horizontal-2 pSa (g),RSN-1221 Vertical pSa (g),RSN-1222 Horizontal-1 pSa (g),RSN-1222 Horizontal-2 pSa (g),RSN-1222 Vertical pSa (g),RSN-1223 Horizontal-1 pSa (g),RSN-1223 Horizontal-2 pSa (g),RSN-1223 Vertical pSa (g),RSN-1224 Horizontal-1 pSa (g),RSN-1224 Horizontal-2 pSa (g),RSN-1224 Vertical pSa (g),RSN-1225 Horizontal-1 pSa (g),RSN-1225 Horizontal-2 pSa (g),RSN-1225 Vertical pSa (g),RSN-1241 Horizontal-1 pSa (g),RSN-1241 Horizontal-2 pSa (g),RSN-1241 Vertical pSa (g),RSN-1250 Horizontal-1 pSa (g),RSN-1250 Horizontal-2 pSa (g),RSN-1250 Vertical pSa (g),RSN-1308 Horizontal-1 pSa (g),RSN-1308 Horizontal-2 pSa (g),RSN-1308 Vertical pSa (g),RSN-1309 Horizontal-1 pSa (g),RSN-1309 Horizontal-2 pSa (g),RSN-1309 Vertical pSa (g),RSN-1310 Horizontal-1 pSa (g),RSN-1310 Horizontal-2 pSa (g),RSN-1310 Vertical pSa (g),RSN-1311 Horizontal-1 pSa (g),RSN-1311 Horizontal-2 pSa (g),RSN-1311 Vertical pSa (g),RSN-1312 Horizontal-1 pSa (g),RSN-1312 Horizontal-2 pSa (g),RSN-1312 Vertical pSa (g),RSN-1313 Horizontal-1 pSa (g),RSN-1313 Horizontal-2 pSa (g),RSN-1313 Vertical pSa (g),RSN-1314 Horizontal-1 pSa (g),RSN-1314 Horizontal-2 pSa (g),RSN-1314 Vertical pSa (g),RSN-1315 Horizontal-1 pSa (g),RSN-1315 Horizontal-2 pSa (g),RSN-1315 Vertical pSa (g),RSN-1316 Horizontal-1 pSa (g),RSN-1316 Horizontal-2 pSa (g),RSN-1316 Vertical pSa (g),RSN-1317 Horizontal-1 pSa (g),RSN-1317 Horizontal-2 pSa (g),RSN-1317 Vertical pSa (g),RSN-1318 Horizontal-1 pSa (g),RSN-1318 Horizontal-2 pSa (g),RSN-1318 Vertical pSa (g),RSN-1319 Horizontal-1 pSa (g),RSN-1319 Horizontal-2 pSa (g),RSN-1319 Vertical pSa (g),RSN-1320 Horizontal-1 pSa (g),RSN-1320 Horizontal-2 pSa (g),RSN-1320 Vertical pSa (g),RSN-1323 Horizontal-1 pSa (g),RSN-1323 Horizontal-2 pSa (g),RSN-1323 Vertical pSa (g),RSN-1324 Horizontal-1 pSa (g),RSN-1324 Horizontal-2 pSa (g),RSN-1324 Vertical pSa (g),RSN-1325 Horizontal-1 pSa (g),RSN-1325 Horizontal-2 pSa (g),RSN-1325 Vertical pSa (g),RSN-1326 Horizontal-1 pSa (g),RSN-1326 Horizontal-2 pSa (g),RSN-1326 Vertical pSa (g),RSN-1327 Horizontal-1 pSa (g),RSN-1327 Horizontal-2 pSa (g),RSN-1327 Vertical pSa (g),RSN-1328 Horizontal-1 pSa (g),RSN-1328 Horizontal-2 pSa (g),RSN-1328 Vertical pSa (g),RSN-1329 Horizontal-1 pSa (g),RSN-1329 Horizontal-2 pSa (g),RSN-1329 Vertical pSa (g),RSN-1330 Horizontal-1 pSa (g),RSN-1330 Horizontal-2 pSa (g),RSN-1330 Vertical pSa (g),RSN-1331 Horizontal-1 pSa (g),RSN-1331 Horizontal-2 pSa (g),RSN-1331 Vertical pSa (g),RSN-1332 Horizontal-1 pSa (g),RSN-1332 Horizontal-2 pSa (g),RSN-1332 Vertical pSa (g),RSN-1334 Horizontal-1 pSa (g),RSN-1334 Horizontal-2 pSa (g),RSN-1334 Vertical pSa (g),RSN-1336 Horizontal-1 pSa (g),RSN-1336 Horizontal-2 pSa (g),RSN-1336 Vertical pSa (g),RSN-1337 Horizontal-1 pSa (g),RSN-1337 Horizontal-2 pSa (g),RSN-1337 Vertical pSa (g),RSN-1340 Horizontal-1 pSa (g),RSN-1340 Horizontal-2 pSa (g),RSN-1340 Vertical pSa (g),RSN-1342 Horizontal-1 pSa (g),RSN-1342 Horizontal-2 pSa (g),RSN-1342 Vertical pSa (g),RSN-1343 Horizontal-1 pSa (g),RSN-1343 Horizontal-2 pSa (g),RSN-1343 Vertical pSa (g),RSN-1344 Horizontal-1 pSa (g),RSN-1344 Horizontal-2 pSa (g),RSN-1344 Vertical pSa (g),RSN-1356 Horizontal-1 pSa (g),RSN-1356 Horizontal-2 pSa (g),RSN-1356 Vertical pSa (g),RSN-1358 Horizontal-1 pSa (g),RSN-1358 Horizontal-2 pSa (g),RSN-1358 Vertical pSa (g),RSN-1362 Horizontal-1 pSa (g),RSN-1362 Horizontal-2 pSa (g),RSN-1362 Vertical pSa (g),RSN-1376 Horizontal-1 pSa (g),RSN-1376 Horizontal-2 pSa (g),RSN-1376 Vertical pSa (g),RSN-1384 Horizontal-1 pSa (g),RSN-1384 Horizontal-2 pSa (g),RSN-1384 Vertical pSa (g),RSN-1391 Horizontal-1 pSa (g),RSN-1391 Horizontal-2 pSa (g),RSN-1391 Vertical pSa (g),RSN-1392 Horizontal-1 pSa (g),RSN-1392 Horizontal-2 pSa (g),RSN-1392 Vertical pSa (g),RSN-1396 Horizontal-1 pSa (g),RSN-1396 Horizontal-2 pSa (g),RSN-1396 Vertical pSa (g),RSN-1397 Horizontal-1 pSa (g),RSN-1397 Horizontal-2 pSa (g),RSN-1397 Vertical pSa (g),RSN-1406 Horizontal-1 pSa (g),RSN-1406 Horizontal-2 pSa (g),RSN-1406 Vertical pSa (g),RSN-1419 Horizontal-1 pSa (g),RSN-1419 Horizontal-2 pSa (g),RSN-1419 Vertical pSa (g),RSN-1422 Horizontal-1 pSa (g),RSN-1422 Horizontal-2 pSa (g),RSN-1422 Vertical pSa (g),RSN-1423 Horizontal-1 pSa (g),RSN-1423 Horizontal-2 pSa (g),RSN-1423 Vertical pSa (g),RSN-1424 Horizontal-1 pSa (g),RSN-1424 Horizontal-2 pSa (g),RSN-1424 Vertical pSa (g),RSN-1425 Horizontal-1 pSa (g),RSN-1425 Horizontal-2 pSa (g),RSN-1425 Vertical pSa (g),RSN-1426 Horizontal-1 pSa (g),RSN-1426 Horizontal-2 pSa (g),RSN-1426 Vertical pSa (g),RSN-1427 Horizontal-1 pSa (g),RSN-1427 Horizontal-2 pSa (g),RSN-1427 Vertical pSa (g),RSN-1428 Horizontal-1 pSa (g),RSN-1428 Horizontal-2 pSa (g),RSN-1428 Vertical pSa (g),RSN-1431 Horizontal-1 pSa (g),RSN-1431 Horizontal-2 pSa (g),RSN-1431 Vertical pSa (g),RSN-1433 Horizontal-1 pSa (g),RSN-1433 Horizontal-2 pSa (g),RSN-1433 Vertical pSa (g),RSN-1436 Horizontal-1 pSa (g),RSN-1436 Horizontal-2 pSa (g),RSN-1436 Vertical pSa (g),RSN-1437 Horizontal-1 pSa (g),RSN-1437 Horizontal-2 pSa (g),RSN-1437 Vertical pSa (g),RSN-1442 Horizontal-1 pSa (g),RSN-1442 Horizontal-2 pSa (g),RSN-1442 Vertical pSa (g),RSN-1452 Horizontal-1 pSa (g),RSN-1452 Horizontal-2 pSa (g),RSN-1452 Vertical pSa (g),RSN-1457 Horizontal-1 pSa (g),RSN-1457 Horizontal-2 pSa (g),RSN-1457 Vertical pSa (g),RSN-1463 Horizontal-1 pSa (g),RSN-1463 Horizontal-2 pSa (g),RSN-1463 Vertical pSa (g),RSN-1465 Horizontal-1 pSa (g),RSN-1465 Horizontal-2 pSa (g),RSN-1465 Vertical pSa (g),RSN-1466 Horizontal-1 pSa (g),RSN-1466 Horizontal-2 pSa (g),RSN-1466 Vertical pSa (g),RSN-1467 Horizontal-1 pSa (g),RSN-1467 Horizontal-2 pSa (g),RSN-1467 Vertical pSa (g),RSN-1468 Horizontal-1 pSa (g),RSN-1468 Horizontal-2 pSa (g),RSN-1468 Vertical pSa (g),RSN-1470 Horizontal-1 pSa (g),RSN-1470 Horizontal-2 pSa (g),RSN-1470 Vertical pSa (g),RSN-1516 Horizontal-1 pSa (g),RSN-1516 Horizontal-2 pSa (g),RSN-1516 Vertical pSa (g),RSN-1522 Horizontal-1 pSa (g),RSN-1522 Horizontal-2 pSa (g),RSN-1522 Vertical pSa (g),RSN-1559 Horizontal-1 pSa (g),RSN-1559 Horizontal-2 pSa (g),RSN-1559 Vertical pSa (g),RSN-1561 Horizontal-1 pSa (g),RSN-1561 Horizontal-2 pSa (g),RSN-1561 Vertical pSa (g),RSN-1562 Horizontal-1 pSa (g),RSN-1562 Horizontal-2 pSa (g),RSN-1562 Vertical pSa (g),RSN-1563 Horizontal-1 pSa (g),RSN-1563 Horizontal-2 pSa (g),RSN-1563 Vertical pSa (g),RSN-1564 Horizontal-1 pSa (g),RSN-1564 Horizontal-2 pSa (g),RSN-1564 Vertical pSa (g),RSN-1565 Horizontal-1 pSa (g),RSN-1565 Horizontal-2 pSa (g),RSN-1565 Vertical pSa (g),RSN-1566 Horizontal-1 pSa (g),RSN-1566 Horizontal-2 pSa (g),RSN-1566 Vertical pSa (g),RSN-1567 Horizontal-1 pSa (g),RSN-1567 Horizontal-2 pSa (g),RSN-1567 Vertical pSa (g),RSN-1568 Horizontal-1 pSa (g),RSN-1568 Horizontal-2 pSa (g),RSN-1568 Vertical pSa (g),RSN-1570 Horizontal-1 pSa (g),RSN-1570 Horizontal-2 pSa (g),RSN-1570 Vertical pSa (g),RSN-1584 Horizontal-1 pSa (g),RSN-1584 Horizontal-2 pSa (g),RSN-1584 Vertical pSa (g),RSN-1593 Horizontal-1 pSa (g),RSN-1593 Horizontal-2 pSa (g),RSN-1593 Vertical pSa (g)
