All Floors - All Directions - All PGs
Intensity,Real 1,Real 2,Real 3,Real 4,Real 5,Real 6,Real 7,Real 8,Real 9,Real 10,Real 11,Real 12,Real 13,Real 14,Real 15,Real 16,Real 17,Real 18,Real 19,Real 20,Real 21,Real 22,Real 23,Real 24,Real 25,Real 26,Real 27,Real 28,Real 29,Real 30,Real 31,Real 32,Real 33,Real 34,Real 35,Real 36,Real 37,Real 38,Real 39,Real 40,Real 41,Real 42,Real 43,Real 44,Real 45,Real 46,Real 47,Real 48,Real 49,Real 50,Real 51,Real 52,Real 53,Real 54,Real 55,Real 56,Real 57,Real 58,Real 59,Real 60,Real 61,Real 62,Real 63,Real 64,Real 65,Real 66,Real 67,Real 68,Real 69,Real 70,Real 71,Real 72,Real 73,Real 74,Real 75,Real 76,Real 77,Real 78,Real 79,Real 80,Real 81,Real 82,Real 83,Real 84,Real 85,Real 86,Real 87,Real 88,Real 89,Real 90,Real 91,Real 92,Real 93,Real 94,Real 95,Real 96,Real 97,Real 98,Real 99,Real 100
12,597460.919202894,931553.110457791,847898.197927082,1732928.87288653,1942065.07910472,1230760.18500095,932616.100809189,1864460.73626129,1647989.21949476,1552299.72917081,1572003.31102032,1433906.58617497,1670708.07640201,1232475.79529449,1343152.63114632,889346.511836071,1146713.48853823,672919.323693196,1966720.78178972,1832143.64277728,1056416.31680557,1150090.0260856,1477728.44643287,1289248.53134147,1048243.81435013,917557.389667792,1784357.15197219,1413323.9886757,1660905.78462606,1641986.52515265,1170577.59777033,904804.398961127,1873158.11815046,852525.285356571,1196433.037657,1676318.61589874,1400520.3523856,1511328.53007121,1497783.44787203,1406920.97882748,1217582.1270931,1905887.88761622,897188.665205372,1751545.87445821,1446248.9855563,1864425.47771662,1102800.6815465,1698125.32707269,501535.220489045,1296004.47968691,1256991.36953174,883919.649352791,1742455.23626648,1575713.4191668,1687524.38323455,1650020.89468043,1431133.63383892,1605171.52515554,1921818.67768374,1741698.20007682,1552937.29335492,1630233.92159975,1031340.93179932,1522651.01236693,1196125.88120163,1284490.88864194,1956365.04893153,1552895.5871112,1954579.12090867,1570596.47078243,1558305.54213451,1153022.47388732,1691990.29417155,1313010.58322118,1557081.89660793,1514444.28078841,1069321.85516024,1280402.45419932,1487157.74929832,1821703.947853,1822583.34146082,1911655.30825653,1700726.4093202,2220945.33105934,1263538.38855938,1305958.87667098,1075006.6873284,1106073.68485895,1499856.9877011,1662549.4450144,985429.968562406,1029379.93757858,1211044.7576645,2156147.02293536,1373688.40709926,1965373.89726158,1595721.74707142,1486479.12300962,1011129.31739085,1859882.60974867
13,1932333.45236447,1668804.97944195,1215862.22851472,1464481.93570246,1239042.92347206,1600593.62090149,1789707.46404458,1826286.17301725,1726312.35996819,1790683.90334938,1377733.34440703,732802.408853896,770229.668094629,1351916.83550163,1575067.79838805,1770553.1975325,876623.069636632,1608243.50118029,1798993.31233692,1526847.72097206,1419653.1265875,1303070.72828862,915696.16234652,1960976.96141404,1294372.04444787,1440460.65441641,1366587.37195216,1846373.19155538,1578145.49465854,1644189.36958383,1618518.26090107,1501652.8266303,1596746.61383512,1760080.12394412,1429359.95708504,1461679.44147484,1779468.24881695,809920.491436327,1743866.81589663,1082463.1511882,1861244.93301428,1079032.98698919,1131624.58297286,1606389.46740353,1277306.58356194,1351141.42431473,2015036.83601298,2033523.7190553,1767531.98916676,1353442.52110014,1974551.02049304,1547154.89676528,1551089.11792935,1394119.62045437,1697596.02090822,1494142.90071128,1099866.4214568,1685397.43112631,898021.766109194,1642069.79225693,1466788.10955923,1354430.09470117,2054635.14099063,1143470.70398787,1733816.19566384,1059839.19524606,1508884.1846413,660284.261790005,498993.672673667,1958739.15365945,1507627.03260367,1672419.84528104,2146761.18789984,1348978.65813155,1947609.92957844,1690877.54388581,1332823.28351551,862464.5445134,1731007.76294562,2146932.41889954,1946478.06647666,1671537.60588443,933644.037018636,1842607.71086824,1579666.75695179,1100995.77335973,949332.339464932,1699952.80118799,859582.641323422,1748637.71731584,955693.076293984,1262921.93646106,1396324.08454285,1677086.91132896,1665526.31537953,1840465.65301066,810783.935998093,1741518.5092628,1341276.9915535,1512500.20837009
14,10814000,1806950.00989067,2036046.70231868,1715392.65756505,1868283.39460972,1813366.74636259,1661351.05188082,1139264.50307101,2160502.26534775,1729278.34565084,1776724.93908573,1488703.04136425,1510959.70336736,1778635.48032111,1618977.82602346,1916630.20537044,1407543.08498783,1046669.94759519,2098867.80868285,1391187.47827748,1888742.47437018,2308040.59922815,1427387.13947843,1828292.18047456,1575198.58165258,1263092.63893239,1698206.85916002,1711352.37386671,2117392.44715329,2135160.85238396,1611111.30462772,2065301.47239168,1565363.73423673,1931687.1159944,2191105.31311374,1512309.37009266,2030494.94251221,1883183.22334176,1245729.03609182,1993118.03451431,1676138.45174866,1317537.11719066,1042966.15176119,1660468.98465629,2143445.09464397,1923321.86028913,1465025.15244647,1188564.33109082,1194077.47520539,1746229.13686761,1634919.7663805,1531272.13392921,1892745.97936601,1680959.92433129,1685938.25208932,1520304.34111843,936042.044005387,1458317.16009559,595894.046645505,1569850.42979333,1707042.18648854,1407593.22689602,1872618.83003555,646032.58587463,1739002.74497048,1365104.25964235,1305729.36577282,2174223.64645557,1952049.20752876,1872265.96677019,1876794.86910976,1875163.35928778,1914306.50708792,1985520.50388543,1747496.2719986,1302560.0780923,1958848.77807438,2217786.15837469,1881560.13355818,2005411.84148482,1335552.23870072,1430390.58373413,2048066.75332802,1803379.5630788,1249000.3945927,1673318.32426568,2037538.01854153,2358463.16100533,2178408.37897074,1881822.78429789,1150647.61481393,1431878.32017403,1910879.08137857,1867998.69212057,1702344.2870122,1627720.87937171,1932419.59895938,1002797.72819594,1399337.53026178,1518275.32647951
15,1971697.88811992,1290934.26825412,1993851.02946423,1381682.07393804,1869535.26507939,2068883.41670802,1515749.67944399,2021154.33427702,2017187.89501211,1922581.07452505,1900209.19658963,1858523.29212592,2059377.39220544,1197174.71616828,1885208.68345453,2237983.98028708,2097293.99263172,1779564.34528916,2025012.45539788,1454109.48060757,2144382.16386107,1638765.81427359,1945345.37393984,2245844.8284884,2097358.48925686,1807469.20153968,2178878.76267972,2226190.08116999,1688662.48765466,1955410.81846991,2280717.50558688,1704690.62829961,2159798.52069268,2103026.03762891,1730581.26186219,1604136.63124026,2040147.8969253,2261487.33061592,1682809.25964704,1472106.39340673,1525060.57761208,2170643.05261374,1961723.85550981,1548255.86394915,2123325.60050246,10814000,2251561.25287431,1867112.88654735,2011517.81536461,1743175.17676904,1764255.40893414,1530358.77674465,1602447.17863697,2311009.26986428,1930882.49870052,1549189.18088133,2069603.38066823,2138190.77403772,2067039.60446285,1880434.92136209,2075555.61907749,1651205.62979093,1532698.67702034,1144959.1998763,1379458.02076278,1626486.00046041,1715424.05039796,1314600.6891617,2195904.90256447,1709461.29961701,2110433.86012386,1858468.45520793,1786893.45099557,1484526.57896899,1718979.80598737,1852975.16813305,1985979.86806054,1779684.93780305,1328190.76036865,1806934.26508455,1715781.94919186,2200458.59396095,1820930.51578917,2181145.83867387,1655065.78425017,1917102.11262999,1550516.04258649,2059318.08034131,1592581.95016767,1718071.27386491,2054385.85300138,1735955.30968119,1967419.60292826,2054288.48220223,1921380.72002081,2037501.40042693,1903203.34088108,1980826.37647326,1789903.76581653,1827559.17379104
16,2116243.38810506,2462437.47096244,2220271.40321621,2202746.01345551,1884707.32636354,2221123.57645183,1752785.50596893,2335874.25833197,1628006.02363085,2409972.17246391,2435668.75085643,1988484.86722043,2181621.64714646,2394346.59047795,2349747.64086353,1995867.99939563,2305729.13418875,2433198.36784937,2356098.02148409,2412209.64817818,2988430.48728543,2090850.64255953,2421292.131447,1901153.96390733,1871594.84413307,2276681.83470267,1379503.952836,10814000,2022301.811724,2021163.04754539,2014468.46322729,2230996.61049754,2245015.26406761,2135535.70225582,2387063.54568283,2442598.01417506,2568685.70436496,10814000,2448188.27985648,1994628.02992173,1776063.12634938,2524216.99246624,1857985.26551767,1961760.68423285,2948366.58481397,2027216.95964701,2001107.06455466,2282592.30432553,1740915.57999706,1888358.93459499,2391589.32601299,2452491.70054509,2345319.76563381,2129411.59196763,2131680.56478221,2277670.83736451,2059224.74028031,2341740.14440684,1883994.18873586,2397199.17078772,2137432.62302661,2335520.91376633,1512818.97984598,2326412.37157483,2112339.44835195,2219293.14727255,2178435.22873384,2123652.58378544,1941744.71808446,2462361.92885917,2399518.32367885,1729435.25362611,1964856.82065263,2273599.55505454,2082908.59419849,1554398.19731045,10814000,2073196.31165408,2068075.79945423,2396644.70504022,1755556.169182,1649411.6672549,2537678.07796052,2143718.84200577,2281083.06049352,2181900.01753765,2103584.18717883,2116595.8745055,10814000,1834836.4001549,2182566.12149503,1749105.04051964,1934204.92397916,2348300.07957738,2397960.22479567,2151797.35583159,2421797.43490206,2059265.36351507,2187748.1271273,2110804.60778299
17,2106162.77485542,2460581.79740388,2412179.30803226,2245531.91384117,2266970.25060842,1911876.7516413,2246953.6638021,2544960.62138617,2452168.38132907,2569996.64966615,2447619.36506824,2293366.10985825,2195119.76126601,2377453.16055406,1973887.9579714,1961275.99393549,2502140.80074077,1975824.16213153,2018851.48645047,2065619.02063319,10814000,2345438.06168437,2160406.35804011,1858639.82535146,2486011.3915959,2611592.77122954,2500273.69637933,1988773.42278487,2654454.39143927,2280522.81783868,2430291.31250839,2421929.71882537,2016687.7538169,2193668.49849807,2358343.07803542,10814000,2440343.26732949,2140699.36383229,10814000,2379206.29044234,10814000,2143918.46252148,2055167.97391693,1825016.76683477,2237962.54201256,10814000,2194140.0149804,2186448.68032067,2136302.73918702,2404468.29429073,10814000,10814000,2282486.41283103,1902079.38153896,2116018.57408569,2484337.27256007,2414856.28105964,2312827.19562336,2027132.35660016,1977742.98344527,10814000,2197282.14106257,2547733.05645404,2054685.42029936,2474111.53856952,1986349.91732419,2574257.31347681,2398593.30080148,2238708.87005818,2263421.84901611,2244913.38809927,2282693.85999263,2293919.2806482,2210331.90125103,2285978.85459569,2424758.87826371,2441822.5369753,2225495.97225684,2276795.09714394,2292801.89424682,2210024.28817415,2547414.69728814,2517891.10171188,1885736.49285941,2309847.24074474,10814000,1852299.53800438,1838341.55247664,2465010.73649545,2587019.60954139,2312845.02515927,2290028.7899786,10814000,2171669.23117845,2008840.57615941,2460422.0272791,2751797.02401831,1975721.72622659,2124590.12234205,2284646.93801962
18,2472589.76514982,2147744.01552047,10814000,2985929.03783657,10814000,2204917.48937562,10814000,2566313.1696208,2103737.19859083,10814000,2483777.68008816,3350362.64033483,2617350.47140881,2380667.45226899,10814000,2114664.19698653,2673722.83671334,2633307.97969019,2841518.18748811,2569986.97869554,2494338.24366562,2629395.02980472,2695051.93549089,2642868.86320554,2258522.11417683,2572685.76170035,2001739.53249352,2380752.88800002,10814000,2713535.22670593,2686317.08004639,2452463.91924553,2481419.98626188,2421259.10723118,2356711.02119672,2304068.31732578,10814000,10814000,2518490.78147508,2290974.99769666,2326601.73622666,2699283.11637491,2640976.41053809,10814000,10814000,10814000,10814000,2278305.79640954,10814000,2423431.1017785,10814000,2883870.99981114,2321284.02452379,10814000,2414090.64092381,10814000,2426158.91069207,2142059.12091327,2510370.91293776,2681624.25341524,2267707.41355699,2545782.09581422,2248661.88228729,2377804.27804822,2254565.9677107,2389844.15461925,2384095.51660085,10814000,2526615.53331777,2541261.59776356,10814000,2684536.51545239,2306647.26582855,2550006.5325269,2301497.8893608,2755077.82300847,2048899.43646737,3264136.82640038,2137088.55839997,10814000,10814000,2785653.98397221,2507109.73183723,2402275.31730865,2353082.77940612,10814000,2069419.72934717,2654954.24125634,2249995.11745316,2199247.04498802,2234611.98179977,10814000,10814000,2407125.62425115,2315433.05946965,10814000,2585723.16002942,2485108.49115095,2516221.31928252,2487756.72673913
