
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2021-09-08


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, 7.5
Magnitude Max:, 7.8
Rrup Min (km):, 55.0
Rrup Max (km):, 80.0
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 
Earthquake Name:, chi-chi
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, SRSS
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
27, SRSS, 1292, -, 1.0, -, 5.8, 13.5, 0.5, "Chi-Chi_ Taiwan", 1999, "HWA045", 7.62, Reverse Oblique, 60.2, 63.43, 484.45, 0.05, 1.0, RSN1292_CHICHI_HWA045-N.AT2, RSN1292_CHICHI_HWA045-W.AT2 , RSN1292_CHICHI_HWA045-V.AT2  
28, SRSS, 1305, -, 1.0, -, 14.9, 26.8, 0.0, "Chi-Chi_ Taiwan", 1999, "HWA060", 7.62, Reverse Oblique, 53.92, 57.51, 573.04, 0.025, 1.0, RSN1305_CHICHI_HWA060-E.AT2, RSN1305_CHICHI_HWA060-N.AT2 , RSN1305_CHICHI_HWA060-V.AT2  
29, SRSS, 1321, -, 1.0, -, 13.9, 26.5, 0.1, "Chi-Chi_ Taiwan", 1999, "ILA021", 7.62, Reverse Oblique, 74.26, 76.9, 573.04, 0.05, 1.0, RSN1321_CHICHI_ILA021-N.AT2, RSN1321_CHICHI_ILA021-W.AT2 , RSN1321_CHICHI_ILA021-V.AT2  
30, SRSS, 1322, -, 1.0, -, 15.3, 27.9, 0.0, "Chi-Chi_ Taiwan", 1999, "ILA024", 7.62, Reverse Oblique, 64.79, 67.8, 671.52, 0.025, 1.0, RSN1322_CHICHI_ILA024-N.AT2, RSN1322_CHICHI_ILA024-W.AT2 , RSN1322_CHICHI_ILA024-V.AT2  
31, SRSS, 1333, -, 1.0, -, 12.7, 19.8, 0.1, "Chi-Chi_ Taiwan", 1999, "ILA043", 7.62, Reverse Oblique, 74.53, 77.17, 573.04, 0.5, 1.0, RSN1333_CHICHI_ILA043-E.AT2, RSN1333_CHICHI_ILA043-N.AT2 , RSN1333_CHICHI_ILA043-V.AT2  
32, SRSS, 1335, -, 1.0, -, 15.2, 27.8, 0.1, "Chi-Chi_ Taiwan", 1999, "ILA046", 7.62, Reverse Oblique, 77.06, 79.62, 396.93, 0.05, 1.0, RSN1335_CHICHI_ILA046-E.AT2, RSN1335_CHICHI_ILA046-N.AT2 , RSN1335_CHICHI_ILA046-V.AT2  
33, SRSS, 1338, -, 1.0, -, 15.2, 24.3, 0.1, "Chi-Chi_ Taiwan", 1999, "ILA050", 7.62, Reverse Oblique, 63.82, 66.88, 621.06, 0.05, 1.0, RSN1338_CHICHI_ILA050-E.AT2, RSN1338_CHICHI_ILA050-N.AT2 , RSN1338_CHICHI_ILA050-V.AT2  
34, SRSS, 1339, -, 1.0, -, 19.8, 36.9, 0.2, "Chi-Chi_ Taiwan", 1999, "ILA051", 7.62, Reverse Oblique, 76.45, 79.03, 520.64, 0.025, 1.0, RSN1339_CHICHI_ILA051-E.AT2, RSN1339_CHICHI_ILA051-N.AT2 , RSN1339_CHICHI_ILA051-V.AT2  
35, SRSS, 1345, -, 1.0, -, 15.8, 23.7, 0.1, "Chi-Chi_ Taiwan", 1999, "ILA061", 7.62, Reverse Oblique, 75.96, 78.55, 497.73, 0.025, 1.0, RSN1345_CHICHI_ILA061-N.AT2, RSN1345_CHICHI_ILA061-W.AT2 , RSN1345_CHICHI_ILA061-V.AT2  
36, SRSS, 1346, -, 1.0, -, 15.2, 26.7, 0.1, "Chi-Chi_ Taiwan", 1999, "ILA062", 7.62, Reverse Oblique, 70.43, 73.22, 447.51, 0.025, 1.0, RSN1346_CHICHI_ILA062-N.AT2, RSN1346_CHICHI_ILA062-W.AT2 , RSN1346_CHICHI_ILA062-V.AT2  
37, SRSS, 1347, -, 1.0, -, 13.7, 23.3, 0.1, "Chi-Chi_ Taiwan", 1999, "ILA063", 7.62, Reverse Oblique, 57.69, 61.06, 996.51, 0.025, 1.0, RSN1347_CHICHI_ILA063-N.AT2, RSN1347_CHICHI_ILA063-W.AT2 , RSN1347_CHICHI_ILA063-V.AT2  
38, SRSS, 1348, -, 1.0, -, 13.8, 24.9, 0.1, "Chi-Chi_ Taiwan", 1999, "ILA064", 7.62, Reverse Oblique, 69.5, 72.32, 488.61, 0.025, 1.0, RSN1348_CHICHI_ILA064-N.AT2, RSN1348_CHICHI_ILA064-W.AT2 , RSN1348_CHICHI_ILA064-V.AT2  
39, SRSS, 1349, -, 1.0, -, 14.9, 25.7, 0.2, "Chi-Chi_ Taiwan", 1999, "ILA066", 7.62, Reverse Oblique, 67.44, 70.35, 481.17, 0.025, 1.0, RSN1349_CHICHI_ILA066-N.AT2, RSN1349_CHICHI_ILA066-W.AT2 , RSN1349_CHICHI_ILA066-V.AT2  
40, SRSS, 1360, -, 1.0, -, 26.6, 42.5, 0.0, "Chi-Chi_ Taiwan", 1999, "KAU018", 7.62, Reverse Oblique, 76.7, 78.41, 538.69, 0.025, 1.0, RSN1360_CHICHI_KAU018-E.AT2, RSN1360_CHICHI_KAU018-N.AT2 , RSN1360_CHICHI_KAU018-V.AT2  
41, SRSS, 1361, -, 1.0, -, 31.1, 40.4, 0.3, "Chi-Chi_ Taiwan", 1999, "KAU020", 7.62, Reverse Oblique, 72.17, 74.48, 373.33, 0.025, 1.0, RSN1361_CHICHI_KAU020-E.AT2, RSN1361_CHICHI_KAU020-N.AT2 , RSN1361_CHICHI_KAU020-V.AT2  
42, SRSS, 1387, -, 1.0, -, 25.2, 37.2, 0.0, "Chi-Chi_ Taiwan", 1999, "KAU069", 7.62, Reverse Oblique, 67.82, 70.71, 500.15, 0.125, 1.0, RSN1387_CHICHI_KAU069-E.AT2, RSN1387_CHICHI_KAU069-N.AT2 , RSN1387_CHICHI_KAU069-V.AT2  
43, SRSS, 1464, -, 1.0, -, 19.5, 34.2, 0.2, "Chi-Chi_ Taiwan", 1999, "TCU006", 7.62, Reverse Oblique, 72.52, 72.61, 607.4, 0.025, 1.0, RSN1464_CHICHI_TCU006-E.AT2, RSN1464_CHICHI_TCU006-N.AT2 , RSN1464_CHICHI_TCU006-V.AT2  
44, SRSS, 1469, -, 1.0, -, 10.2, 18.0, 0.2, "Chi-Chi_ Taiwan", 1999, "TCU011", 7.62, Reverse Oblique, 74.41, 75.17, 471.07, 0.0375, 1.0, RSN1469_CHICHI_TCU011-E.AT2, RSN1469_CHICHI_TCU011-N.AT2 , RSN1469_CHICHI_TCU011-V.AT2  
45, SRSS, 1473, -, 1.0, -, 20.8, 35.6, 0.2, "Chi-Chi_ Taiwan", 1999, "TCU018", 7.62, Reverse Oblique, 66.25, 66.25, 573.04, 0.025, 1.0, RSN1473_CHICHI_TCU018-E.AT2, RSN1473_CHICHI_TCU018-N.AT2 , RSN1473_CHICHI_TCU018-V.AT2  
46, SRSS, 1475, -, 1.0, 8.372, 12.0, 24.7, 0.2, "Chi-Chi_ Taiwan", 1999, "TCU026", 7.62, Reverse Oblique, 56.03, 56.12, 569.98, 0.025, 1.0, RSN1475_CHICHI_TCU026-E.AT2, RSN1475_CHICHI_TCU026-N.AT2 , RSN1475_CHICHI_TCU026-V.AT2  
47, SRSS, 1514, -, 1.0, -, 19.8, 36.1, 0.3, "Chi-Chi_ Taiwan", 1999, "TCU081", 7.62, Reverse Oblique, 55.48, 55.48, 430.47, 0.025, 1.0, RSN1514_CHICHI_TCU081-E.AT2, RSN1514_CHICHI_TCU081-N.AT2 , RSN1514_CHICHI_TCU081-V.AT2  
48, SRSS, 1518, -, 1.0, -, 11.7, 22.7, 0.1, "Chi-Chi_ Taiwan", 1999, "TCU085", 7.62, Reverse Oblique, 55.14, 58.09, 999.66, 0.0, 1.0, RSN1518_CHICHI_TCU085-E.AT2, RSN1518_CHICHI_TCU085-N.AT2 , RSN1518_CHICHI_TCU085-V.AT2  
